company,immediate,parent,ultimate,jurisdiction,,oc_id,source_url,confidence,source_date,,,,,ownership_type,,start_date,end_date,ownership_status,,turnover,profit,assets,liabilities,document_name,documentation_summary,document_raw,document_url,document_filename,,,document2_name,document2_summary,document2_raw,document2_url,document2_filename,,
"""TSG Polska"" Spolka z ograniczona odpowiedzialnocia",100,BP Europa SE,100,Poland,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,"AR, included """" like on BP AR13, 10-7-2014",,,,,,,,,,,,,,,,,,
1594416 Alberta Ltd,100,BP Canada Energy Group ULC,100,Canada,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
200 PS Aircraft Holdings Inc,100,BP America Inc,100,United States,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
200 PS Investment Company,100,The Standard Oil Company,100,United States,05.05.14 00:00,gb/BR005052,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,Converted / Closed,,,,,,,,,,,,,,,,,,,
200 PS Overseas Holdings Inc,100,BP America Inc,100,United States,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
4321 North 800 West LLC,100,BP Wind Energy North America Inc,100,United States,05.05.14 00:00,us/4057790,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
563916 Alberta Ltd,99.9,BP Canada Energy Group ULC,99.9,Canada,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
A Flygbranslehantenng AB (AFAB),16.67,Air BP Sweden AB,16.67,Sweden,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
ABG Autobahn-Betriebe GmbH,32.58,BP Europa SE,32.58,Austria,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Abu Dhabi Company for Onshore Oil Operations,9.5,BP Exploration Company (Middle East) Limited,9.5,United Arab Emirates,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Abu Dhabi Gas Liquefaction Co Ltd,10,BP Global Investments Limited,10,United Arab Emirates,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Abu Dhabi Marine Areas Limited,66.67,BP-Japan Oil Development Company Limited,33.33,United Kingdom,05.05.14 00:00,gb/00533446,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,1 994 240 283,  511 404,1 121 658 850,1 107 907 485,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/00533446 Abu Dhabi Marine Areas Limited.csv,00533446 Abu Dhabi Marine Areas Limited.csv,https://data.openoil.net/documents/financials/00533446 Abu Dhabi Marine Areas Limited.csv,200,,,,/UK Companies House filings/gb/00533446 Abu Dhabi Marine Areas Limited/AA 17/09/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_00533446 Abu Dhabi Marine Areas Limited/AA 17_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_00533446 Abu Dhabi Marine Areas Limited/AA 17_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
Abu Dhabi Marine Operating Company,14.7,BP Exploration Company Limited,14.7,United Arab Emirates,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Abu Dhabi Petroleum Company Limited,23.75,BP Exploration Company (Middle East) Limited,23.75,United Kingdom,05.05.14 00:00,gb/00319011,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,7 826 720 848, 1 207 838,1 460 078 381,1 421 557 983,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/00319011 Abu Dhabi Petroleum Company Limited.csv,00319011 Abu Dhabi Petroleum Company Limited.csv,https://data.openoil.net/documents/financials/00319011 Abu Dhabi Petroleum Company Limited.csv,200,,,,/UK Companies House filings/gb/00319011 Abu Dhabi Petroleum Company Limited/AA 16/09/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_00319011 Abu Dhabi Petroleum Company Limited/AA 16_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_00319011 Abu Dhabi Petroleum Company Limited/AA 16_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
"ACP (Malaysia), Inc",100,BP Canada Investments Inc,100,United States,05.05.14 00:00,us_de/2406817,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Actomat B V,100,BP Europa SE,100,Netherlands,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Adria-Wien Pipeline GmbH,20,BP Europa SE,20,Austria,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Advance Petroleum Holdings Pty Ltd,100,Centrel Pty Ltd,100,Australia,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Advance Petroleum Pty Ltd,100,Advance Petroleum Holdings Pty Ltd,100,Australia,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
AE Cedar Creek Holdings LLC,100,BP Wind Energy North America Inc,100,United States,05.05.14 00:00,us_de/4460680,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
AE Goshen II Wind Farm LLC,100,AE Goshen II Holdings LLC,100,United States,05.05.14 00:00,us_de/4628320,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
AE Goshen ll Holdings LLC,100,BP Wind Energy North America Inc,100,United States,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
AE Power Services LLC,100,BP Wind Energy North America Inc,100,United States,05.05.14 00:00,us_de/5044297,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
AE Wind PartsCo LLC,100,BP Wind Energy North America Inc,100,United States,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
AFC° AB,33.33,Air BP Sweden AB,33.33,Sweden,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
AFS Aviation Fuel Services GmbH,67,BP Europa SE,100,Germany,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
