Timestamp,Legal Name,Other Names,Previous Names,Company number,Source URL,Company Type,Source URL,Trading name,Source URL,Date founded,Source URL,Headquarters,Source URL,Key people,Source URL,Revenue,Source URL,Profit,Source URL,Total assets,Source URL,Total equity,Source URL,Employees,Source URL,Website,Document Name,Document Summary,Document Raw,Document URL
,,Addax Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Addax Petroleum Development Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Addax Petroleum Exploration Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Addax Petroleum Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Agip Energy and Natural Resources (AENR),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aker Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Amec Plc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Amni International Petroleum Development Company Limited,,,,,,,,1993,http://www.amnipetroleum.com/briefhistory.htm,"Plot 1377, Tiamiyu Savage Street, Victoria Island, Lagos, Nigeria.",http://www.amnipetroleum.com/corporateinfo.htm,"Chief Tunde Afolabi, Director
Mr. T. Iboroma Akpana, Director",https://drive.google.com/file/d/0B-KlXDOYUc-OQ3lXdkFWaERXVFU/edit?usp=sharing,,,,,,,,,,,http://www.amnipetroleum.com,,,,
,,Ankorpointe Nigeria Limited,,,,,,,,,,"Plot PC 10, Engineering Close, 4th Floor, NITP (Sterling) Building, Off Idowu Taylor St. Opposite UBA/ Opposite Old Agip House (Feyide House).",http://www.ankorpointe.com/contacts.php,"Timi Aladetimi
Festus Ore Aruwaji
Dr. Olufemi O. Babalola",,,,,,,,,,,,http://www.ankorpointe.com/,,,,
,,BGI Resources Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chevron Nigeria Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Clean Nigeria Associates Limited,,,,,,,,1981,http://www.cnang.org/,"CNA Fire Building, Rm 1 & 2, Shell Petroleum Development Co. Ltd., Kidney Island, Port Harcourt, Rivers State, Nigeria",http://www.cnang.org/index.php?option=com_contact&view=contact&id=1%3Aph-quaters&catid=12%3Acontacts&Itemid=82,,,,,,,,,,,,,http://www.cnang.org/,,,,
