timestamp,name,other_names,previous_names,oc_id,,jurisdiction,legal_type,legal_type_source,,,foundation_date,,headquarters,,directors,shareholders,,,,,,,,,,,,website,,,,
,Addax Petroleum,Addax Petroleum,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Addax Petroleum Development Nigeria Limited,Addax Petroleum Development Nigeria Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Addax Petroleum Exploration Nigeria Limited,Addax Petroleum Exploration Nigeria Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Addax Petroleum Nigeria,Addax Petroleum Nigeria,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agip Energy and Natural Resources (AENR),Agip Energy and Natural Resources (AENR),,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aker Solutions,Aker Solutions,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amec Plc,Amec Plc,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amni International Petroleum Development Company Limited,Amni International Petroleum Development Company Limited,,,,Nigeria,,,,,1993,http://www.amnipetroleum.com/briefhistory.htm,"Plot 1377, Tiamiyu Savage Street, Victoria Island, Lagos, Nigeria.",http://www.amnipetroleum.com/corporateinfo.htm,"Chief Tunde Afolabi, Director
Mr. T. Iboroma Akpana, Director","Kapetrol Nigeria Ltd (94,904,300)
Chief Tunde Afolabi (700,000)",https://drive.google.com/file/d/0B-KlXDOYUc-OQ3lXdkFWaERXVFU/edit?usp=sharing,,,,,,,,,,,http://www.amnipetroleum.com,,,,
,Ankorpointe Nigeria Limited,Ankorpointe Nigeria Limited,,,,Nigeria,,,,,,,"Plot PC 10, Engineering Close, 4th Floor, NITP (Sterling) Building, Off Idowu Taylor St. Opposite UBA/ Opposite Old Agip House (Feyide House).",http://www.ankorpointe.com/contacts.php,"Timi Aladetimi
Festus Ore Aruwaji
Dr. Olufemi O. Babalola",,,,,,,,,,,,,http://www.ankorpointe.com/,,,,
,BGI Resources Limited,BGI Resources Limited,,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chevron Nigeria Limited,"Chevron Nigeria Limited, Chevron Petroleum Nigeria Limited",,,,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clean Nigeria Associates Limited,Clean Nigeria Associates Limited,,,,Nigeria,,,,,1981,http://www.cnang.org/,"CNA Fire Building, Rm 1 & 2, Shell Petroleum Development Co. Ltd., Kidney Island, Port Harcourt, Rivers State, Nigeria",http://www.cnang.org/index.php?option=com_contact&view=contact&id=1%3Aph-quaters&catid=12%3Acontacts&Itemid=82,,,,,,,,,,,,,,http://www.cnang.org/,,,,
