timestamp,name,,legal_name,other_names,,previous_names,,oc_id,,jurisdiction,jurisdiction_source,legal_type,legal_type_source,,,foundation_date,,headquarters,,directors,shareholders,,,,,,,,,,,,website,document_name,documentation_summary,document_raw,document_url,,,,
,Addax Petroleum,"10,7",,Addax Petroleum,http://hamiltontechnologies.com/index.php/projects/bulk-methanol-delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aanderaah Nigeria Limited,,,Aanderaah Nigeria Limited,http://nielsonngr.com/about-us/projects.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABB Global Engineering Limited,,,ABB Global Engineering Limited,http://bgiresourcesltd.com/Projects_types.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Addax Petroleum (Nigeria Offshore) Limited,,,Addax Petroleum (Nigeria Offshore) Limited,http://www.offshore-technology.com/projects/okwokfield/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Addax Petroleum Corporation,"3,10",,Addax Petroleum Corporation,https://www.addaxpetroleum.com/about-us/news/130-nigeria-china-petrochemical-corporation-sinopec-group-is-in-the-final-stages-of-acquiring-totals-interest-in-oml-138-offshore-nigeria,,,,,Switzerland,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=24673218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Addax Petroleum Development Nigeria Limited,,,Addax Petroleum Development Nigeria Limited,http://www.teconoilserv.com/index.php?s=projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Addax Petroleum Exploration Nigeria Limited,,,Addax Petroleum Exploration Nigeria Limited,http://www.teconoilserv.com/index.php?s=projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Addax Petroleum Nigeria,"3,7",,Addax Petroleum Nigeria,http://www.kaztec-eng.com/index.php/2014-01-17-08-24-48/2014-01-17-08-51-17/2014-01-17-09-05-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afren Plc,,,Afren Plc,http://www.offshore-technology.com/projects/okwokfield/,,,,,United Kingdom,http://www.afren.com/contact_us/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agip Energy and Natural Resources (AENR),,,Agip Energy and Natural Resources (AENR),http://www.bgiresourcesltd.com/index2.php?p=projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Air Liquide Nigeria Plc,,,Air Liquide Nigeria Plc,http://bgiresourcesltd.com/Projects_types5.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aiteo Suisse AG,,,Aiteo Suisse AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aker Solutions,,,Aker Solutions,http://www.akersolutions.com/Documents/Drilling%20Technologies/Process%20Systems/Reference%20lists/Crude%20oil%20complete.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allied Energy Plc,,,Allied Energy Plc,https://drive.google.com/file/d/0B-KlXDOYUc-OcVNjVXdZLUJuN0E/edit?usp=sharing,,,,,Nigeria,,,,,,,,,,"Lawal Kase Lukmon, Director
Lawal Kamoru, Director
Lawal Mickey, Director
Adegbemile Iyabo, Director
Busari Murhi, Director
Moser Gregg, Director
Umar Nasiru, Director
Kio Clement Bestman, Director
Azuike Kelechi Godwin, Director
Ahmadu Abubakar, Director
Ayorinde Bayo, Director
Serena-Dokubo Spiff David, Director
Uwechue-Mbanefo Sally Yuette, Director
Mortensen Martn, Director","Camac Energy Holding Limited (3,999,999,998)
Limota Asande (2)",https://drive.google.com/file/d/0B-KlXDOYUc-OcVNjVXdZLUJuN0E/edit?usp=sharing,,,,,,,,,,,,,,,,,,,
,Amban Nigeria Limited,,,Amban Nigeria Limited,http://ambanltd.com/projects.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AMEC Contractors West Africa Limited,,,AMEC Contractors West Africa Limited,http://www.belloil.com/clients/2006-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amec Plc,,,Amec Plc,http://www.jagal.com/latest-news/exxonmobil-hands-out-nigerian-epcm-deal/ AND m/page.aspx?pointerid=9eac8137409b49afa6afd6087a255170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
