timestamp,name,,legal_name,other_names,,previous_names,,oc_id,,jurisdiction,jurisdication_source,legal_type,legal_type_source,,,foundation_date,,headquarters,,directors,shareholders,,,,,,,,,,,,website,attributes_source,document_name,document_summary,document_raw,,document_filename,document_url,document2_name,documentation2_summary,document2_raw,document2_url
,Addax Petroleum,"10,7",,Addax Petroleum,http://hamiltontechnologies.com/index.php/projects/bulk-methanol-delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Aanderaah Nigeria Limited,,,Aanderaah Nigeria Limited,http://nielsonngr.com/about-us/projects.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,ABB Global Engineering Limited,,,ABB Global Engineering Limited,http://bgiresourcesltd.com/Projects_types.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Addax Petroleum (Nigeria Offshore) Limited,,,Addax Petroleum (Nigeria Offshore) Limited,http://www.offshore-technology.com/projects/okwokfield/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Addax Petroleum Corporation,"3,10",,Addax Petroleum Corporation,https://www.addaxpetroleum.com/about-us/news/130-nigeria-china-petrochemical-corporation-sinopec-group-is-in-the-final-stages-of-acquiring-totals-interest-in-oml-138-offshore-nigeria,,,,,Switzerland,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=24673218,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Addax Petroleum Development Nigeria Limited,,,Addax Petroleum Development Nigeria Limited,http://www.teconoilserv.com/index.php?s=projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Addax Petroleum Exploration Nigeria Limited,,,Addax Petroleum Exploration Nigeria Limited,daew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Addax Petroleum Nigeria,"3,7",,Addax Petroleum Nigeria,http://www.kaztec-eng.com/index.php/2014-01-17-08-24-48/2014-01-17-08-51-17/2014-01-17-09-05-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Afren Plc,,,Afren Plc,http://www.offshore-technology.com/projects/okwokfield/,,,,,United Kingdom,http://www.afren.com/contact_us/,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Agip Energy and Natural Resources (AENR),,,Agip Energy and Natural Resources (AENR),http://www.bgiresourcesltd.com/index2.php?p=projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
