timestamp,official_title,name,company_source,company_target,operator,type,share,description,value_usd,value_currency_amount,value_currency_unit,field,license_area,annoucement_date,start_date,end_date,,duration_months,source_date,,source_url,,,,,log_message
4/21/2014 9:29:47,,Supply of bulk methanol,Shell Nigeria Exploration and Production Company (SNEPCO),Hamilton Technologies Limited,,Service Contracts,,Supply of bulk methanol, ,,,Bonga,OML 118,,2005,2009,,,,,http://hamiltontechnologies.com/index.php/projects/bulk-methanol-delivery,4/21/2014 9:29:47,,,,
4/21/2014 9:38:12,,Methanol supply services,Total Upstream Nigeria Limited (TUPNIL),Hamilton Technologies Limited,,Service Contracts,,Methanol supply services, ,,,Akpo,OML 130,,,,,,,,http://hamiltontechnologies.com/index.php/projects/bulk-methanol-delivery,4/21/2014 9:38:12,,,,
4/21/2014 9:34:58,,Supply of bulk methanol,Star Deep Water Petroleum (CHEVRON),Hamilton Technologies Limited,,Service Contracts,,Supply of bulk methanol,,,,Agbami,"OML 127, OML 128",,,,,,,,http://hamiltontechnologies.com/index.php/projects/bulk-methanol-delivery,4/21/2014 9:34:58,,,,
4/21/2014 9:42:48,,Methanol supply services,Addax Petroleum,Hamilton Technologies Limited,,Service Contracts,,Methanol supply services,,,,Onne,,,,,,,,,http://hamiltontechnologies.com/index.php/projects/bulk-methanol-delivery,4/21/2014 9:42:48,,,,
4/21/2014 9:47:01,,Supply of bulk methanol for AKPO FPSO,Total Upstream Nigeria Limited (TUPNIL),Hamilton Technologies Limited,,Service Contracts,,Supply of bulk methanol for AKPO FPSO,,,,Akpo,OML 130,,,,,,,,http://hamiltontechnologies.com/index.php/projects/bulk-methanol-delivery,4/21/2014 9:47:01,,,,
4/21/2014 11:36:04,,Umbilical contract:- supply of subsea umbilicals for the Erha North phase 2 development,ExxonMobil Nigeria,Aker Solutions,,Service Contracts,,Umbilical contract:- supply of subsea umbilicals for the Erha North phase 2 development,,,,Erha North,OML 133,,,,,,,,http://www.akersolutions.com/en/Global-menu/Media/Press-Releases/All/2013/Aker-Solutions-signs-umbilical-contract-with-ExxonMobil/,4/21/2014 11:36:04,,,,
4/21/2014 11:50:19,,"Engineering, procurement and construction (EPC)",TOTAL Nigeria,Aker Solutions,,Service Contracts,,"Engineering, procurement and construction (EPC)",,,,Amenam-Kpono,"OML 99, OML 70",,,,,,,,http://www.akersolutions.com/Documents/Drilling%20Technologies/Process%20Systems/Reference%20lists/Crude%20oil%20complete.pdf,4/21/2014 11:50:19,,,,
4/21/2014 11:59:15,,"Engineering, procurement and construction (EPC)",ExxonMobil Nigeria,Aker Solutions,,Service Contracts,,"Engineering, procurement and construction (EPC)",,,,Yoho,OML 104,,,,,,,,http://www.akersolutions.com/Documents/Drilling%20Technologies/Process%20Systems/Reference%20lists/Crude%20oil%20complete.pdf,4/21/2014 11:59:15,,,,The project is subcontracted to Aker Solutions by Sime Sembcorp Engineering for ExxonMobil Nigeria
4/21/2014 12:33:41,,"18"" Gas Supply Trunkline (Ongoing)",Nigeria Gas Company,Nestoil Plc,,Service Contracts,,"18"" Gas Supply Trunkline (Ongoing)",,,,"Alaoji, Aba, Abia state",,,,,,,,,http://www.nestoilgroup.com/projects.php,4/21/2014 12:33:41,,,,
4/21/2014 12:39:08,,Nembe EPIC FLB Project (Commissioned 2010),Shell Petroleum Development Company of Nigeria Limited (SPDC),Nestoil Plc,,Service Contracts,,Nembe EPIC FLB Project (Commissioned 2010),,,,"Nembe Creek, Bayelsa state",,,,,,,,,http://www.nestoilgroup.com/projects.php,4/21/2014 12:39:08,,,,
