Company,Source URL,Confidence
Aanderaah Nigeria Limited,http://nielsonngr.com/about-us/projects.html,Medium 
ABB Global Engineering Limited,http://bgiresourcesltd.com/Projects_types.htm,Medium 
Addax Petroleum,http://hamiltontechnologies.com/index.php/projects/bulk-methanol-delivery,Medium 
,http://www.belloil.com/clients/2011-3/,Medium 
,http://wellman-wellington.org/clients.html,Medium 
,https://www.addaxpetroleum.com/images/pdf/Corporate-Brochure.pdf,High
Addax Petroleum (Nigeria Offshore) Limited,http://www.offshore-technology.com/projects/okwokfield/,Medium 
,http://www.afren.com/download.axd?id=612,High
Addax Petroleum Corporation,https://www.addaxpetroleum.com/about-us/news/130-nigeria-china-petrochemical-corporation-sinopec-group-is-in-the-final-stages-of-acquiring-totals-interest-in-oml-138-offshore-nigeria,Medium 
,http://www.newswire.ca/fr/story/326777/addax-petroleum-acquires-shallow-water-exploration-license-in-nigeria,Low 
,https://www.addaxpetroleum.com/operations/nigeria,Medium 
,http://www.afren.com/download.axd?id=612,High
,http://investing.businessweek.com/research/stocks/private/snapshot.asp?privcapId=24673218,Medium
Addax Petroleum Development Nigeria Limited,http://www.teconoilserv.com/index.php?s=projects,Medium 
,http://wellman-wellington.org/clients.html,Medium 
,http://www.boltoggroup.com/clients.html,Medium 
,http://bgiresourcesltd.com/Projects_types.htm,Medium 
,http://www.igpesgroup.com/projects/index.php,Medium 
,http://www.teconoilserv.com/index.php?s=projects,Medium
Addax Petroleum Exploration Nigeria Limited,http://www.teconoilserv.com/index.php?s=projects,Medium 
,http://africaoilgasreport.com/2006/11/in-the-news/addax-wins-operatorship-of-opl-291/,Low 
Addax Petroleum Nigeria,http://www.kaztec-eng.com/index.php/2014-01-17-08-24-48/2014-01-17-08-51-17/2014-01-17-09-05-52,Medium 
,http://www.dewaylesinternational.com/index.php?option=com_content&view=article&id=5&Itemid=6,Medium 
Afren Global Energy Resources,http://www.energy-pedia.com/news/nigeria/afren-signs-pscs-for-two-licences-in-the-gas-rich-anambra-basin-,Low 
Afren Plc,http://www.belloil.com/clients/2014-3/,Medium 
,http://www.offshore-technology.com/projects/okwokfield/,Medium 
,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&ved=0CDMQFjAB&url=http%3A%2F%2Fwww.afren.com%2Fdownload.axd%3Fid%3D1693&ei=2IyLUpj0O8rAswbCxID4Cg&usg=AFQjCNGHG3WxSHXiP3_ZJbUgVgRimb2riw&bvm=bv.56643336,d.Yms&cad=rja",Medium 
,http://www.afren.com/operations/nigeria/opl_310/,Medium 
Agip Energy and Natural Resources (AENR),http://www.bgiresourcesltd.com/index2.php?p=projects,Medium 
,http://bgiresourcesltd.com/Projects_types.htm,Medium 
,http://www.bgiresourcesltd.com/index2.php?p=projects,Medium
