"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,218555000.00,226815000.00,200827000.00,202600000.00,225217000.00
"Cost of sales",105812000.00,113500000.00,96759000.00,108467000.00,116583000.00
"Gross profit",112743000.00,113315000.00,104068000.00,94133000.00,108634000.00
"Operating profit",-3801000.00,-9938000.00,-5426000.00,-18300000.00,-21130000.00
"Interest payable and similar charges",1651000.00,21014000.00,69906000.00,57073000.00,60373000.00
"Pretax profit",-5452000.00,-2849000.00,-13675000.00,-18350000.00,-14008000.00
Taxation,-1940000.00,-1047000.00,-2296000.00,594000.00,-2838000.00
"Profit for the year",-7392000.00,-3896000.00,-15971000.00,-17756000.00,-16846000.00
"Dividends paid out",,,,,
Profit retained,-7392000.00,-3896000.00,-15971000.00,-17756000.00,-16846000.00
"Fixed assets",51529000.00,43626000.00,65781000.00,45745000.00,55117000.00
"Inventory",13923000.00,17342000.00,13748000.00,13937000.00,27580000.00
"Debts owed by customers",25243000.00,22970000.00,23454000.00,18036000.00,18318000.00
"Debts owed by others, including group companies",362286000.00,275245000.00,366140000.00,341337000.00,336143000.00
"Current assets",412425000.00,316703000.00,406308000.00,374930000.00,384034000.00
"Current liabilities",287666000.00,178984000.00,305221000.00,248814000.00,245138000.00
"Long term liabilities",40039000.00,22133000.00,26004000.00,13035000.00,13158000.00
"Called up share capital",750000000.00,750000000.00,750000000.00,750000000.00,750000000.00
"Profit and loss account",-644558000.00,-616730000.00,-631385000.00,-609485000.00,-585966000.00
"Shareholder funds",136249000.00,159212000.00,140864000.00,158826000.00,180855000.00
