"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,0.00,0.00,0.00,0.00,0.00
"Cost of sales",,,,,
"Gross profit",,,,,
"Operating profit",-4335.00,-5495.00,-3602.00,-3440.00,-3536.00
"Interest payable and similar charges",0.00,0.00,0.00,0.00,0.00
"Pretax profit",-4335.00,-5495.00,-3574.00,-3380.00,-1889.00
Taxation,0.00,0.00,0.00,0.00,0.00
"Profit for the year",-4335.00,-5495.00,-3574.00,-3380.00,-1889.00
"Dividends paid out",,,,,
Profit retained,-4335.00,-5495.00,-3574.00,-3380.00,-1889.00
"Fixed assets",0.00,0.00,0.00,0.00,0.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,0.00,0.00,0.00,0.00
"Debts owed by others, including group companies",649717.00,660287.00,690330.00,643139.00,643139.00
"Current assets",649717.00,660287.00,690330.00,723993.00,726335.00
"Current liabilities",19268.00,21350.00,24500.00,28450.00,28410.00
"Long term liabilities",9988.00,14141.00,35539.00,61678.00,60680.00
"Called up share capital",14490898.00,14490898.00,14490898.00,14490898.00,14490898.00
"Profit and loss account",-13870437.00,-13866102.00,-13860607.00,-13857033.00,-13853653.00
"Shareholder funds",620461.00,624796.00,630291.00,633865.00,637245.00
