"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,5213620.30,3897040.22,3430799.22,2955653.02,4364557.57
"Cost of sales",1868936.71,1660763.97,1300560.42,1463206.62,1202123.16
"Gross profit",3344683.58,2236276.24,2130238.79,1492446.39,3162434.40
"Operating profit",,,,,
"Interest payable and similar charges",1771281.72,2701745.50,6791544.83,1487573.09,5207189.81
"Pretax profit",1570831.99,-467998.98,-4668615.98,-4264.13,-2099040.95
Taxation,-2170253.77,-1428029.34,-1412646.19,-981359.64,-1951263.64
"Profit for the year",-599421.77,-1896028.33,-6081262.18,-985623.78,-4050304.60
"Dividends paid out",,,,,
Profit retained,-599421.77,-1896028.33,-6081262.18,-985623.78,-4050304.60
"Fixed assets",139277867.00,204693270.93,214523026.31,214523026.31,183763194.40
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,0.00,0.00,0.00,0.00
"Debts owed by others, including group companies",947638.93,1063749.05,565911.30,763888.88,493395.25
"Current assets",947638.93,1063749.05,565911.30,763888.88,493395.25
"Current liabilities",133693543.20,198737035.16,212270955.16,206387670.56,174468906.44
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",35359460.32,34807108.52,27756457.11,27756457.11,27483563.54
"Profit and loss account",-28827497.59,-27787123.70,-24938474.65,-18857212.47,-17695880.33
"Shareholder funds",6531962.73,7019984.82,2817982.45,8899244.63,9787683.21
