"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,172003000.00,179082000.00,163797000.00,142071000.00,134098000.00
"Cost of sales",,,,,
"Gross profit",,,,,
"Operating profit",106908000.00,156284000.00,104698000.00,76953000.00,77982000.00
"Interest payable and similar charges",0.00,0.00,0.00,0.00,0.00
"Pretax profit",109345000.00,227823000.00,98895000.00,77029000.00,78227000.00
Taxation,-9112000.00,-9988000.00,-8630000.00,-11258000.00,-6751000.00
"Profit for the year",100233000.00,217835000.00,90265000.00,65771000.00,71476000.00
"Dividends paid out",,,,,
Profit retained,-249767000.00,217835000.00,90265000.00,65771000.00,71476000.00
"Fixed assets",232683000.00,227459000.00,435268000.00,430584000.00,432400000.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,302000.00,5000.00,0.00,0.00
"Debts owed by others, including group companies",526589000.00,675444000.00,157840000.00,45974000.00,53143000.00
"Current assets",526589000.00,679296000.00,158272000.00,46591000.00,53270000.00
"Current liabilities",334425000.00,232141000.00,136761000.00,110661000.00,184927000.00
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",7864000.00,7864000.00,7864000.00,7864000.00,7864000.00
"Profit and loss account",372938000.00,622705000.00,404870000.00,314605000.00,248834000.00
"Shareholder funds",424847000.00,674614000.00,456779000.00,366514000.00,300743000.00
