"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,90773000.00,77200000.00,49937000.00,67839000.00,83656000.00
"Cost of sales",,,,,
"Gross profit",,,,,
"Operating profit",1295000.00,,,,
"Interest payable and similar charges",,,,0.00,0.00
"Pretax profit",1054000.00,1230000.00,2591000.00,7218000.00,40909000.00
Taxation,-275000.00,-435000.00,-1774000.00,-370000.00,-647000.00
"Profit for the year",779000.00,795000.00,817000.00,6848000.00,40262000.00
"Dividends paid out",,,,,
Profit retained,779000.00,795000.00,817000.00,829000.00,-3738000.00
"Fixed assets",114073000.00,114314000.00,114314000.00,114314000.00,114314000.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,0.00,0.00,0.00,0.00
"Debts owed by others, including group companies",0.00,0.00,0.00,0.00,0.00
"Current assets",518000.00,481000.00,504000.00,731000.00,2450000.00
"Current liabilities",78110000.00,79093000.00,79911000.00,80955000.00,83503000.00
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",12500000.00,12500000.00,12500000.00,12500000.00,12500000.00
"Profit and loss account",15257000.00,14478000.00,13683000.00,12866000.00,12037000.00
"Shareholder funds",36481000.00,35702000.00,34907000.00,34090000.00,33261000.00
