"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,0.00,0.00,4089046000.00,986690000.00,2981283000.00
"Cost of sales",,,,,
"Gross profit",,,,,
"Operating profit",1011105428.55,3249728880.39,4112632000.00,1012064000.00,2909477000.00
"Interest payable and similar charges",83596647.97,44276295.52,29740000.00,25922000.00,122121000.00
"Pretax profit",1044318812.00,3867142769.11,4140293000.00,1403958000.00,4183357000.00
Taxation,-5899932.22,-6175981.26,-2864000.00,-584000.00,-545000.00
"Profit for the year",1038418879.78,3860966787.84,4137429000.00,1403374000.00,4182812000.00
"Dividends paid out",,,,,
Profit retained,-4195575821.06,17945652.84,349972000.00,551243000.00,392518000.00
"Fixed assets",9867911762.89,9487392322.38,12807111000.00,12685184000.00,11669117000.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,0.00,0.00,0.00,0.00
"Debts owed by others, including group companies",337513093.84,5445121695.72,215149000.00,935210000.00,290556000.00
"Current assets",337513093.84,5445121695.72,215149000.00,935210000.00,290556000.00
"Current liabilities",17850760.98,9958715.87,58623000.00,675920000.00,23892000.00
"Long term liabilities",3388995008.93,3928400394.35,1187866000.00,1518675000.00,1061225000.00
"Called up share capital",0.00,0.00,10087814000.00,10087814000.00,10087814000.00
"Profit and loss account",6614734734.11,10810310555.17,1494082000.00,1144110000.00,592867000.00
"Shareholder funds",6798579086.81,10994154907.88,11775771000.00,11425799000.00,10874556000.00
