"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,0.00,0.00,0.00,0.00,7551534.73
"Cost of sales",,,,,8739256.86
"Gross profit",,,,,-1187722.13
"Operating profit",,,,,-134410.33
"Interest payable and similar charges",0.00,0.00,0.00,0.00,0.00
"Pretax profit",-504652.16,-410447.76,-212504.60,-2863284.60,82714.05
Taxation,0.00,0.00,0.00,0.00,0.00
"Profit for the year",-504652.16,-410447.76,-212504.60,-2863284.60,82714.05
"Dividends paid out",,,,,
Profit retained,-504652.16,-410447.76,-212504.60,-2863284.60,82714.05
"Fixed assets",14788.34,9486.46,47291.48,95811.32,165428.10
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",91810.95,0.00,0.00,0.00,0.00
"Debts owed by others, including group companies",500338.89,1180748.79,5020881.95,4709495.14,9870759.28
"Current assets",726477.29,1266759.42,5332268.76,4796708.02,10434248.78
"Current liabilities",466448.94,540728.56,4316423.04,4778896.94,7349919.22
"Long term liabilities",258179.80,200480.64,144945.33,279449.69,500807.75
"Called up share capital",3043933.69,3124209.46,3034025.30,1737501.53,1828109.85
"Profit and loss account",-4818534.72,-4427649.88,-3901240.63,-3688736.02,-868497.57
"Shareholder funds",16636.88,535036.68,918191.86,-165827.29,2748949.91
