"Made up to",31/12/13,31/12/12,31/12/11,31/12/10,31/12/09
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,0.00,92448000.00,0.00,0.00,0.00
"Cost of sales",,,,,
"Gross profit",,,,,
"Operating profit",-2572000.00,90171000.00,-5123000.00,38725000.00,13810000.00
"Interest payable and similar charges",0.00,113000.00,0.00,335000.00,224000.00
"Pretax profit",-2419000.00,90058000.00,1698000.00,211384000.00,13586000.00
Taxation,0.00,0.00,0.00,0.00,-3014000.00
"Profit for the year",-2419000.00,90058000.00,1698000.00,211384000.00,10572000.00
"Dividends paid out",,,,,
Profit retained,-2419000.00,90058000.00,-148302000.00,121384000.00,4553000.00
"Fixed assets",126627000.00,126627000.00,126627000.00,128132000.00,155728000.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,0.00,0.00,0.00,0.00
"Debts owed by others, including group companies",114132000.00,114132000.00,22303000.00,164245000.00,7975000.00
"Current assets",114132000.00,114132000.00,22303000.00,164245000.00,7975000.00
"Current liabilities",47205000.00,44786000.00,43015000.00,38160000.00,30870000.00
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",37122000.00,37122000.00,37122000.00,37122000.00,37122000.00
"Profit and loss account",156432000.00,158851000.00,68793000.00,217095000.00,95711000.00
"Shareholder funds",193554000.00,195973000.00,105915000.00,254217000.00,132833000.00
