"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,1964198656.72,2442769733.19,2611805228.59,2420753578.53,4102293240.24
"Cost of sales",1548699858.27,1344404461.14,1455543303.18,1264283330.12,1944707711.83
"Gross profit",415498798.44,1098365272.04,1156261925.41,1156470248.41,2157585528.40
"Operating profit",188557520.48,959274138.88,986898773.38,551631041.78,3857205331.64
"Interest payable and similar charges",282029083.73,163479573.60,203801263.78,116200654.72,275640114.24
"Pretax profit",1383606506.87,3122009365.94,1715816503.53,7316049810.64,3511039669.94
Taxation,-113902273.70,-1062287879.72,-575753933.83,-604099107.77,-1047617899.07
"Profit for the year",1269704233.16,2059721486.22,1140062569.69,6711950702.86,2463421770.86
"Dividends paid out",,,,,
Profit retained,653523322.44,-96911701.27,210809689.01,11905770.58,-76724214.53
"Fixed assets",33832953355.10,33595244931.91,22121056250.77,18426630078.95,18579160901.30
"Inventory",55400825.68,49032595.97,23417792.09,26095384.81,25358298.95
"Debts owed by customers",277937026.31,333110481.23,204064552.10,300841517.42,275290384.00
"Debts owed by others, including group companies",2358471255.16,1810717850.76,1602741915.49,1358915206.36,1352890510.94
"Current assets",2729351161.50,2199952554.06,1833853921.44,1691292124.01,1663274516.02
"Current liabilities",13618203832.64,13815554870.91,14316602031.96,9295237820.14,9733750555.37
"Long term liabilities",6161298909.35,6072542978.61,3620157353.48,4836874638.93,4603376071.08
"Called up share capital",15502050033.88,15304872142.46,5346185107.17,5539387637.20,5477506823.23
"Profit and loss account",1103281163.34,457551297.06,555122041.87,348566018.35,351105680.73
"Shareholder funds",16782801774.60,15907099636.45,6018150786.76,5985809743.88,5905308790.86
