"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,7826720848.05,7150918942.34,4764825066.56,3673674176.77,6602759289.17
"Cost of sales",7823520719.56,7148466778.12,4762395813.98,3671408947.94,6599968982.22
"Gross profit",3200128.49,2452164.22,2429252.58,2265228.83,2790306.94
"Operating profit",1280436.87,1220509.00,1106570.06,1093138.19,1495315.02
"Interest payable and similar charges",0.00,0.00,0.00,0.00,0.00
"Pretax profit",1247028.58,1214935.90,1096662.33,1031516.78,1666558.96
Taxation,-39190.49,-27865.50,-39011.70,-27601.25,-39418.41
"Profit for the year",1207838.09,1187070.40,1057650.62,1003915.52,1627140.54
"Dividends paid out",,,,,
Profit retained,1207838.09,1187070.40,1057650.62,1003915.52,1627140.54
"Fixed assets",795543205.91,1041404421.32,1000931946.25,917216766.15,805163812.60
"Inventory",9074204.94,8172642.26,5223852.87,4455998.45,3260096.93
"Debts owed by customers",653727593.96,568539847.66,509424732.18,367119198.92,378188045.23
"Debts owed by others, including group companies",216511.40,190104.65,183293.08,206046.60,208077.54
"Current assets",664535175.07,577881602.57,516474085.08,374624173.56,382434248.78
"Current liabilities",1421557982.65,1583322806.36,1482629884.20,1256888760.51,1153421647.81
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",11585608.73,11166635.70,11166635.70,11575197.38,11652988.69
"Profit and loss account",26934789.59,24796581.83,23609511.42,23376981.83,22523424.87
"Shareholder funds",38520398.32,35963217.53,34776147.12,34952179.21,34176413.57
