"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,82081000.00,75662000.00,78796000.00,59371000.00,92683000.00
"Cost of sales",,,,,
"Gross profit",,,,,
"Operating profit",,,1739000.00,496000.00,
"Interest payable and similar charges",4668000.00,4867000.00,1251000.00,0.00,0.00
"Pretax profit",1215000.00,1339000.00,3563000.00,5545000.00,7447000.00
Taxation,0.00,0.00,0.00,0.00,0.00
"Profit for the year",1215000.00,1339000.00,3563000.00,5545000.00,7447000.00
"Dividends paid out",,,,,
Profit retained,1215000.00,1339000.00,3563000.00,5545000.00,-3553000.00
"Fixed assets",0.00,0.00,0.00,14000.00,1078000.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,0.00,0.00,0.00,0.00
"Debts owed by others, including group companies",158044000.00,155239000.00,144584000.00,143485000.00,134097000.00
"Current assets",158044000.00,155239000.00,144584000.00,143485000.00,134097000.00
"Current liabilities",20769000.00,19179000.00,2204000.00,4682000.00,1903000.00
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",125000000.00,125000000.00,125000000.00,125000000.00,125000000.00
"Profit and loss account",12275000.00,11060000.00,17380000.00,13817000.00,8272000.00
"Shareholder funds",137275000.00,136060000.00,142380000.00,138817000.00,133272000.00
