"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,2225192418.88,2202801798.90,1586096352.71,754629038.20,1182347657.51
"Cost of sales",1118413106.32,938376485.70,741071273.76,362344306.59,328388368.33
"Gross profit",1106779312.56,1264425313.20,845025078.95,392284731.60,853959289.17
"Operating profit",1070388050.11,1234907805.97,830460090.40,367015722.88,
"Interest payable and similar charges",47078059.74,57583038.86,76682766.73,13653728.04,8803231.01
"Pretax profit",1024235142.94,1250986829.42,753785373.70,353391475.24,816061389.33
Taxation,-385132669.45,-324167683.90,-269367762.70,-87603488.51,-207789337.64
"Profit for the year",639102473.49,926819145.51,484417610.99,265787986.73,608272051.69
"Dividends paid out",,,,,
Profit retained,639102473.49,-358115001.60,484417610.99,265787986.73,-13375767.36
"Fixed assets",5520393189.84,5607766141.98,5748961545.60,5011696965.97,1509996768.98
"Inventory",140170253.77,129002891.10,107272276.92,89747574.00,47206462.03
"Debts owed by customers",22985544.49,46949566.33,38947922.47,7370.10,24915670.43
"Debts owed by others, including group companies",930334082.87,711034371.98,1382964270.23,155861687.75,70435541.19
"Current assets",1096359781.56,887522646.96,1535335314.88,256404004.42,150415508.88
"Current liabilities",406593639.57,434386122.71,530249551.05,3682168652.49,641006785.13
"Long term liabilities",1140030838.41,1636814005.78,2149338658.74,725678663.55,397609693.05
"Called up share capital",5397365.88,5397365.88,5202179.70,2871268.88,3021001.61
"Profit and loss account",1658765178.28,1019662704.78,1327952814.41,836644761.08,600626171.24
"Shareholder funds",5070128493.41,4424088660.45,4604708650.69,860253654.34,621795799.67
