"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,31000.00,40000.00,30000.00,6000.00,39000.00
"Cost of sales",54000.00,15000.00,210000.00,69000.00,92000.00
"Gross profit",-23000.00,25000.00,-180000.00,-63000.00,-53000.00
"Operating profit",,,,,
"Interest payable and similar charges",0.00,0.00,0.00,0.00,0.00
"Pretax profit",-27000.00,22000.00,-178000.00,-85000.00,-37000.00
Taxation,0.00,-4000.00,-1000.00,-1000.00,-5000.00
"Profit for the year",-27000.00,18000.00,-179000.00,-86000.00,-42000.00
"Dividends paid out",,,,,
Profit retained,-27000.00,18000.00,-179000.00,-86000.00,-42000.00
"Fixed assets",0.00,0.00,0.00,0.00,0.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,0.00,0.00,0.00,339000.00
"Debts owed by others, including group companies",80000.00,102000.00,125000.00,310000.00,15000.00
"Current assets",80000.00,102000.00,125000.00,310000.00,354000.00
"Current liabilities",10000.00,5000.00,46000.00,52000.00,10000.00
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",1000000.00,1000000.00,1000000.00,1000000.00,1000000.00
"Profit and loss account",-930000.00,-903000.00,-921000.00,-742000.00,-656000.00
"Shareholder funds",70000.00,97000.00,79000.00,258000.00,344000.00
