"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,58344321892.90,87395000000.00,48198000000.00,37337000000.00,51017000000.00
"Cost of sales",58311664304.63,86603000000.00,47566000000.00,35746000000.00,53125000000.00
"Gross profit",32657588.26,792000000.00,632000000.00,1591000000.00,-2108000000.00
"Operating profit",1399963029.14,4746000000.00,1443000000.00,7871000000.00,469000000.00
"Interest payable and similar charges",1269948856.98,1503000000.00,771000000.00,461000000.00,1441000000.00
"Pretax profit",1373467249.98,4616000000.00,2260000000.00,8452000000.00,1264000000.00
Taxation,82568242.03,10000000.00,-74000000.00,-471000000.00,703000000.00
"Profit for the year",1456035492.02,4626000000.00,2186000000.00,7981000000.00,1967000000.00
"Dividends paid out",,,,,
Profit retained,-300080103.51,-293000000.00,-776000000.00,48000000.00,1967000000.00
"Fixed assets",79706697886.49,125044000000.00,68707000000.00,53983000000.00,35398000000.00
"Inventory",1677860619.87,2614000000.00,1237000000.00,1547000000.00,1048000000.00
"Debts owed by customers",2068519317.27,4383000000.00,2093000000.00,1821000000.00,2100000000.00
"Debts owed by others, including group companies",34313266375.00,29747000000.00,23158000000.00,12985000000.00,17175000000.00
"Current assets",48840347526.03,48586000000.00,37422000000.00,20338000000.00,24743000000.00
"Current liabilities",64283689691.29,93315000000.00,59006000000.00,51724000000.00,38940000000.00
"Long term liabilities",40079487337.48,40663000000.00,23340000000.00,17039000000.00,15719000000.00
"Called up share capital",22868938320.29,37114000000.00,22168000000.00,3168000000.00,3168000000.00
"Profit and loss account",1314930063.46,2538000000.00,1615000000.00,2390000000.00,2314000000.00
"Shareholder funds",24183868383.75,39652000000.00,23783000000.00,5558000000.00,5482000000.00
