"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,6806995.00,5797470.00,5188856.00,5021616.00,5161712.00
"Cost of sales",5987173.00,5121106.00,5095878.00,4462805.00,4135378.00
"Gross profit",819822.00,676364.00,92978.00,558811.00,1026334.00
"Operating profit",,,,,
"Interest payable and similar charges",2979.00,9811.00,1016.00,1276.00,18377.00
"Pretax profit",407653.00,309801.00,-536559.00,-53935.00,336140.00
Taxation,0.00,0.00,0.00,0.00,0.00
"Profit for the year",407653.00,309801.00,-536559.00,-53935.00,336140.00
"Dividends paid out",,,,,
Profit retained,407653.00,309801.00,-536559.00,-53935.00,336140.00
"Fixed assets",0.00,0.00,0.00,0.00,0.00
"Inventory",307966.00,404087.00,388117.00,478802.00,591465.00
"Debts owed by customers",0.00,0.00,0.00,0.00,0.00
"Debts owed by others, including group companies",1218706.00,894420.00,2158972.00,1083394.00,497165.00
"Current assets",1526672.00,1298507.00,2547089.00,1562196.00,1088630.00
"Current liabilities",761100.00,940588.00,2498971.00,977519.00,734427.00
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",100.00,100.00,100.00,100.00,100.00
"Profit and loss account",765472.00,357819.00,48018.00,584577.00,354103.00
"Shareholder funds",765572.00,357919.00,48118.00,584677.00,354203.00
