"Made up to",31/12/13,31/12/12,31/12/11,31/12/10,31/12/09
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,,,,0.00,0.00
"Cost of sales",,,,271467.79,270097.69
"Gross profit",,,,-271467.79,-270097.69
"Operating profit",,,,381927.10,-458463.69
"Interest payable and similar charges",,,,0.00,0.00
"Pretax profit",,,,1779206.19,23527233.25
Taxation,,,,0.00,0.00
"Profit for the year",,,,1779206.19,23527233.25
"Dividends paid out",,,,,
Profit retained,,,,1779206.19,23527233.25
"Fixed assets",0.00,0.00,0.00,29331.00,38311.72
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,0.00,0.00,0.00,0.00
"Debts owed by others, including group companies",0.00,0.00,0.00,38525961.05,50244556.54
"Current assets",0.00,0.00,0.00,38950948.57,51011429.66
"Current liabilities",0.00,0.00,0.00,928607.08,1596322.07
"Long term liabilities",0.00,0.00,0.00,214053.91,12559223.54
"Called up share capital",0.00,0.00,0.00,249565027.45,255349594.53
"Profit and loss account",0.00,0.00,0.00,-211727408.88,-218455398.76
"Shareholder funds",0.00,0.00,0.00,37837618.57,36894195.77
