"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,49976000.00,50720000.00,42023000.00,39441000.00,55256000.00
"Cost of sales",47692000.00,47916000.00,39525000.00,37141000.00,52677000.00
"Gross profit",2284000.00,2804000.00,2498000.00,2300000.00,2579000.00
"Operating profit",,,,,
"Interest payable and similar charges",0.00,0.00,0.00,0.00,0.00
"Pretax profit",1716000.00,2510000.00,2140000.00,2125000.00,2397000.00
Taxation,0.00,0.00,0.00,0.00,0.00
"Profit for the year",1716000.00,2510000.00,2140000.00,2125000.00,2397000.00
"Dividends paid out",,,,,
Profit retained,1716000.00,2510000.00,2140000.00,-2247000.00,2397000.00
"Fixed assets",632000.00,711000.00,745000.00,697000.00,692000.00
"Inventory",807000.00,877000.00,589000.00,522000.00,468000.00
"Debts owed by customers",2596000.00,2233000.00,2400000.00,2813000.00,2622000.00
"Debts owed by others, including group companies",56763000.00,41243000.00,22178000.00,14895000.00,15977000.00
"Current assets",60244000.00,44420000.00,25282000.00,18404000.00,19245000.00
"Current liabilities",49539000.00,34991000.00,18607000.00,13981000.00,11870000.00
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",100000.00,100000.00,100000.00,100000.00,100000.00
"Profit and loss account",11237000.00,10040000.00,7320000.00,5020000.00,7967000.00
"Shareholder funds",11337000.00,10140000.00,7420000.00,5120000.00,8067000.00
