"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,,,0.00,0.00,0.00
"Cost of sales",,,-267780.37,-262866.96,-30010.85
"Gross profit",,,267780.37,262866.96,30010.85
"Operating profit",,,-2307456.08,-2001596.85,
"Interest payable and similar charges",,,3070.87,2138557.91,2307643.19
"Pretax profit",,,319985.25,-1501044.09,-2277632.33
Taxation,,,0.00,0.00,0.00
"Profit for the year",,,319985.25,-1501044.09,-2277632.33
"Dividends paid out",,,,,
Profit retained,,,319985.25,-1501044.09,-2277632.33
"Fixed assets",0.00,0.00,13573271.09,13557916.71,14821531.19
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,0.00,1222822.74,397985.50,97694.91
"Debts owed by others, including group companies",0.00,0.00,4299.22,550300.94,1338356.42
"Current assets",0.00,0.00,1227121.97,948286.45,1436051.33
"Current liabilities",0.00,0.00,0.00,0.00,156439.56
"Long term liabilities",0.00,0.00,210662.08,236457.43,96193091.11
"Called up share capital",0.00,0.00,181930966.71,181930966.71,92656918.45
"Profit and loss account",0.00,0.00,-167341235.72,-167661220.98,-172748866.61
"Shareholder funds",0.00,0.00,14589730.99,14269745.73,-80091948.15
