"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,0.00,0.00,0.00,0.00,0.00
"Cost of sales",,,,,
"Gross profit",,,,,
"Operating profit",,,,-1294000.00,-4436000.00
"Interest payable and similar charges",1371000.00,1385000.00,1600000.00,990000.00,1065000.00
"Pretax profit",625000.00,-2210000.00,-1015000.00,-2171000.00,-4548000.00
Taxation,0.00,0.00,0.00,0.00,0.00
"Profit for the year",625000.00,-2210000.00,-1015000.00,-2171000.00,-4548000.00
"Dividends paid out",,,,,
Profit retained,625000.00,-2210000.00,-1015000.00,-2171000.00,-4548000.00
"Fixed assets",15288000.00,15288000.00,15288000.00,15288000.00,15288000.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",107000.00,0.00,0.00,0.00,0.00
"Debts owed by others, including group companies",11637000.00,11582000.00,20731000.00,19659000.00,22310000.00
"Current assets",11744000.00,11582000.00,20731000.00,19659000.00,22318000.00
"Current liabilities",2501000.00,966000.00,19458000.00,17602000.00,20531000.00
"Long term liabilities",18668000.00,16182000.00,19041000.00,17163000.00,15919000.00
"Called up share capital",31000000.00,31000000.00,23000000.00,23000000.00,23000000.00
"Profit and loss account",-25137000.00,-21278000.00,-25480000.00,-22818000.00,-21844000.00
"Shareholder funds",5863000.00,9722000.00,-2480000.00,182000.00,1156000.00
