"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,2217119354.24,1946305034.36,1518327450.61,2104423903.97,2810458053.58
"Cost of sales",912250292.68,812610687.96,372623072.63,881148982.60,764862270.18
"Gross profit",1304869061.55,1133694346.39,1145704377.98,1223274921.36,2045595783.39
"Operating profit",1268623451.84,1117432039.13,1123615703.75,,
"Interest payable and similar charges",42682235.50,34956344.04,33852870.14,19023685.73,15359854.42
"Pretax profit",1226405200.56,1083688773.29,1090315809.02,1174961807.56,2003345046.11
Taxation,-529583461.70,-508642640.41,-450453898.07,-495282110.53,-882214971.45
"Profit for the year",696821738.86,575046132.88,639861910.95,679679697.02,1121130074.66
"Dividends paid out",,,,,
Profit retained,696821738.86,451199455.07,-227064833.73,326640349.18,512483528.89
"Fixed assets",6801656910.46,6284806489.56,5097978202.98,4384789781.11,3364571123.79
"Inventory",51704972.57,48228992.50,44808347.26,31269657.87,25362364.30
"Debts owed by customers",29689444.82,2304167.44,90537494.58,29780473.71,96003.01
"Debts owed by others, including group companies",999908189.04,796978141.06,906348380.70,792837794.46,571667817.02
"Current assets",1091500400.51,856591739.42,1050505913.67,872932794.14,668927652.63
"Current liabilities",2929639534.16,2525861044.02,2046288934.29,1587356056.22,771978415.00
"Long term liabilities",1169356707.12,1502854046.69,1440711499.16,676132614.41,653850160.00
"Called up share capital",1767598126.81,1776354573.03,1776354573.03,1841347326.52,1799984313.23
"Profit and loss account",2026562942.88,1336328565.23,885129110.16,1152886578.08,807685888.18
"Shareholder funds",3794161069.69,3112683138.27,2661483683.20,2994233904.61,2607670201.41
