"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,1480000.00,2590000.00,4251000.00,5195000.00,4881000.00
"Cost of sales",-4538000.00,-461000.00,1046000.00,720000.00,31857000.00
"Gross profit",6018000.00,3051000.00,3205000.00,4475000.00,-26976000.00
"Operating profit",6147000.00,4577000.00,3543000.00,4853000.00,-25248000.00
"Interest payable and similar charges",0.00,0.00,0.00,0.00,0.00
"Pretax profit",6779000.00,4939000.00,3774000.00,5074000.00,-24073000.00
Taxation,0.00,0.00,0.00,0.00,0.00
"Profit for the year",6779000.00,4939000.00,3774000.00,5074000.00,-24073000.00
"Dividends paid out",,,,,
Profit retained,6779000.00,4939000.00,3774000.00,5074000.00,-24073000.00
"Fixed assets",106000.00,947000.00,7612000.00,28651000.00,25556000.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",2289000.00,4511000.00,12411000.00,8806000.00,12594000.00
"Debts owed by others, including group companies",78281000.00,68484000.00,48760000.00,29125000.00,23617000.00
"Current assets",80570000.00,73205000.00,61831000.00,37931000.00,36211000.00
"Current liabilities",164000.00,419000.00,649000.00,1562000.00,1821000.00
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",85903000.00,85903000.00,85903000.00,85903000.00,85903000.00
"Profit and loss account",-5391000.00,-12170000.00,-17109000.00,-20883000.00,-25957000.00
"Shareholder funds",80512000.00,73733000.00,68794000.00,65020000.00,59946000.00
