"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,3690000.00,5024000.00,7994000.00,7129000.00,10678000.00
"Cost of sales",,,,,
"Gross profit",,,,,
"Operating profit",3267000.00,4954000.00,3441000.00,680000.00,2615000.00
"Interest payable and similar charges",995000.00,1121000.00,1821000.00,3879000.00,7801000.00
"Pretax profit",2661000.00,22141000.00,1628000.00,-1585000.00,-3313000.00
Taxation,0.00,0.00,0.00,0.00,0.00
"Profit for the year",2661000.00,22141000.00,1628000.00,-1585000.00,-3313000.00
"Dividends paid out",,,,,
Profit retained,2661000.00,22141000.00,1628000.00,-1585000.00,-3313000.00
"Fixed assets",1047000.00,1160000.00,74122000.00,74258000.00,74394000.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",48000.00,49000.00,6093000.00,77000.00,143000.00
"Debts owed by others, including group companies",61180000.00,58594000.00,3300000.00,13040000.00,23684000.00
"Current assets",61228000.00,58643000.00,9393000.00,13117000.00,23827000.00
"Current liabilities",1053000.00,1082000.00,48162000.00,2520000.00,3208000.00
"Long term liabilities",1067000.00,1227000.00,0.00,51130000.00,59703000.00
"Called up share capital",43000000.00,43000000.00,43000000.00,43000000.00,43000000.00
"Profit and loss account",17155000.00,14494000.00,-7647000.00,-9275000.00,-7690000.00
"Shareholder funds",60155000.00,57494000.00,35353000.00,33725000.00,35310000.00
