"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,5926421080.57,5543941988.58,3285553728.07,2646403167.10,4778869165.44
"Cost of sales",1791768219.83,1573185981.68,974803849.90,786915905.75,1254002298.70
"Gross profit",4134652860.74,3970756006.90,2310749878.16,1859487261.34,3524866866.73
"Operating profit",,,,,
"Interest payable and similar charges",,,0.00,0.00,0.00
"Pretax profit",4135234302.40,3971370635.86,2310810794.34,1859643062.38,3535659919.54
Taxation,-4156188769.41,-3947610513.73,-2292732699.80,-1828622054.78,-3505172083.51
"Profit for the year",-20954467.01,23760122.12,18078094.54,31021007.59,30487836.02
"Dividends paid out",,,,,
Profit retained,-20954467.01,-2789725.20,-11770833.33,18250431.00,-16124768.53
"Fixed assets",0.00,0.00,0.00,0.00,0.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,0.00,0.00,0.00,0.00
"Debts owed by others, including group companies",1020296694.54,852663613.43,580971003.89,492354894.32,348867249.85
"Current assets",1020296694.54,852663613.43,580971003.89,492354894.32,348867249.85
"Current liabilities",1017108721.62,828521173.50,556253654.97,454107655.96,328870442.50
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",0.00,0.00,0.00,0.00,0.00
"Profit and loss account",3187972.91,24142439.93,24717348.92,38247238.36,19996807.35
"Shareholder funds",3187972.91,24142439.93,24717348.92,38247238.36,19996807.35
