"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,0.00,127559.15,948402.32,8422798.18,36785137.31
"Cost of sales",11212.98,-497480.70,306779.76,10267780.37,152846526.65
"Gross profit",-11212.98,625039.86,641622.55,-1844982.18,-116061389.33
"Operating profit",,,,-1470949.51,-116775444.26
"Interest payable and similar charges",558670.27,668409.97,2546718.54,1519469.35,2641033.92
"Pretax profit",-570542.84,-49748.07,164551.31,-2990418.86,-119416478.19
Taxation,0.00,33803.17,-163913.51,-531875.69,-1453311.79
"Profit for the year",-570542.84,-15944.89,637.79,-3522294.55,-120869789.98
"Dividends paid out",,,,,
Profit retained,-570542.84,-15944.89,637.79,-3522294.55,-120869789.98
"Fixed assets",0.00,0.00,8291.34,8598.45,0.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,0.00,0.00,15354.37,100807.75
"Debts owed by others, including group companies",120720269.11,116731934.43,117117800.88,113624247.63,156374151.85
"Current assets",120720269.11,116731934.43,117156706.42,114554723.00,158264297.25
"Current liabilities",115876921.04,111496906.69,111914025.12,116127625.59,175605169.62
"Long term liabilities",0.00,0.00,0.00,0.00,167366.72
"Called up share capital",27084625.02,26189808.02,26189808.02,18599680.62,1292.40
"Profit and loss account",-22241276.96,-20954780.27,-20938835.38,-20163984.76,-17509531.50
"Shareholder funds",4843348.06,5235027.74,5250972.63,-1564304.13,-17508239.09
