"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,0.00,0.00,0.00,0.00,276519547.65
"Cost of sales",,,,,
"Gross profit",,,,,
"Operating profit",-5123032.44,-40097394.38,-15621679.73,-40667032.16,276139579.96
"Interest payable and similar charges",1593318.34,1160511.00,1098532.75,0.00,0.00
"Pretax profit",-6598779.31,-41103592.20,-16613331.64,-40866837.23,276889176.09
Taxation,0.00,0.00,0.00,0.00,0.00
"Profit for the year",-6598779.31,-41103592.20,-16613331.64,-40866837.23,276889176.09
"Dividends paid out",,,,,
Profit retained,-6598779.31,-41103592.20,-269585757.65,-40866837.23,276889176.09
"Fixed assets",1021522.64,6101062.48,970149.25,5616471.73,0.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",15015097.97,6044776.11,5113837.59,16064205.65,147791922.45
"Debts owed by others, including group companies",255669129.45,85056918.79,174635087.27,360374025.34,367601292.40
"Current assets",282862190.81,109175942.32,189587654.94,418453338.20,937737641.35
"Current liabilities",104179890.78,36607639.76,69756514.03,48950414.23,500564781.90
"Long term liabilities",10796016.70,3931191.50,4959524.41,3873050.68,0.00
"Called up share capital",164806938.64,64205666.58,64205666.58,61843323.58,65603877.22
"Profit and loss account",3252168.32,9697065.51,50800657.72,308598318.71,370715347.33
"Shareholder funds",168907805.97,74738173.53,115841765.74,371246345.02,437172859.45
