"Made up to",31/12/11,31/12/10,31/12/09,31/12/08,31/12/07
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,0.00,259955.39,589668.61,1121895.15,433646.55
"Cost of sales",0.00,0.00,20711.50,334589.10,233656.60
"Gross profit",0.00,259955.39,568957.11,787306.04,199989.95
"Operating profit",29945.84,-221726.66,428849.90,672370.85,640671.32
"Interest payable and similar charges",0.00,0.00,0.00,0.00,0.00
"Pretax profit",167569.28,10831.47,464790.44,876700.08,640671.32
Taxation,-68811.72,-91111.81,-32894.73,-323734.11,-124616.85
"Profit for the year",98757.56,-80280.34,431895.71,552965.96,516054.46
"Dividends paid out",,,,,
Profit retained,98757.56,-80280.34,431895.71,552965.96,516054.46
"Fixed assets",0.00,54157.37,59697.85,60660.23,69845.73
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,0.00,0.00,136006.64,79895.48
"Debts owed by others, including group companies",4135074.86,4372093.02,4220882.06,3950577.86,3802823.97
"Current assets",7485186.36,7497929.27,7341617.93,7147691.71,6069041.75
"Current liabilities",43963.04,80280.34,257066.27,132813.99,212049.64
"Long term liabilities",0.00,56705.95,77363.54,192197.17,64820.86
"Called up share capital",5589041.09,5589041.09,5343567.25,5601174.89,4407818.70
"Profit and loss account",1844536.47,1818413.50,1716008.77,1274503.54,1448168.43
"Shareholder funds",7441223.31,7415100.35,7066885.96,6883340.78,5862016.98
