"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,4454319000.00,3005050000.00,2767003000.00,3119408000.00,12078793000.00
"Cost of sales",4083949000.00,2827745000.00,2539936000.00,2425699000.00,11618317000.00
"Gross profit",370370000.00,177305000.00,227067000.00,693709000.00,460476000.00
"Operating profit",-177754000.00,-150744000.00,-237838000.00,642362000.00,226592000.00
"Interest payable and similar charges",9633000.00,9732000.00,21897000.00,9628000.00,31428000.00
"Pretax profit",-183087000.00,-154572000.00,-259732000.00,641342000.00,253292000.00
Taxation,0.00,0.00,0.00,172000.00,0.00
"Profit for the year",-183087000.00,-154572000.00,-259732000.00,641514000.00,253292000.00
"Dividends paid out",,,,,
Profit retained,-183087000.00,-154572000.00,-259732000.00,641514000.00,253292000.00
"Fixed assets",769860000.00,771675000.00,786165000.00,828433000.00,1107777000.00
"Inventory",134168000.00,69100000.00,89674000.00,94859000.00,149476000.00
"Debts owed by customers",737048000.00,448128000.00,378264000.00,408368000.00,681797000.00
"Debts owed by others, including group companies",296346000.00,774612000.00,1573012000.00,1351090000.00,993246000.00
"Current assets",1316561000.00,1509776000.00,2304996000.00,2436766000.00,2299808000.00
"Current liabilities",1119982000.00,1218061000.00,1755266000.00,1741185000.00,2083009000.00
"Long term liabilities",692469000.00,554438000.00,672441000.00,640962000.00,1012491000.00
"Called up share capital",1065000000.00,1065000000.00,1065000000.00,1065000000.00,1065000000.00
"Profit and loss account",-791582000.00,-556600000.00,-402098000.00,-182500000.00,-753467000.00
"Shareholder funds",273970000.00,508952000.00,663454000.00,883052000.00,312085000.00
