"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,25704898.44,48971857.16,29235736.01,25441837.24,37315083.39
"Cost of sales",13957918.49,11423735.56,11747066.49,10626560.15,10899806.62
"Gross profit",11746979.95,37548121.59,17488669.52,14815277.08,26415276.77
"Operating profit",3296163.54,28579583.16,9590240.26,4360958.56,22028643.94
"Interest payable and similar charges",128103.01,248241.07,185012.72,161632.55,163766.01
"Pretax profit",3199256.60,28363201.91,9414540.26,4225536.69,22924824.75
Taxation,0.00,0.00,0.00,0.00,0.00
"Profit for the year",3199256.60,28363201.91,9414540.26,4225536.69,22924824.75
"Dividends paid out",,,,,
Profit retained,-29988052.56,8450816.40,9414540.26,4225536.69,-13333333.33
"Fixed assets",57463825.83,55485198.46,68808592.53,46865327.00,55474981.87
"Inventory",274790.91,280764.63,257651.95,219046.43,207880.10
"Debts owed by customers",823045.26,1697198.99,165145.58,590364.45,317258.88
"Debts owed by others, including group companies",24843355.90,69729855.30,40109269.26,7732775.83,1153009.42
"Current assets",35439399.97,71928846.40,43995157.38,8708187.71,1718032.39
"Current liabilities",28193282.88,32013142.17,43335816.72,26550174.73,33976915.63
"Long term liabilities",24060799.15,24763706.35,11300676.72,10461807.28,9334058.49
"Called up share capital",0.00,0.00,0.00,0.00,0.00
"Profit and loss account",40649143.76,70637196.33,58167256.47,18561532.70,13882040.12
"Shareholder funds",40649143.76,70637196.33,58167256.47,18561532.70,13882040.12
