"Made up to",31/05/13,31/05/12,31/05/11,31/05/10,31/05/09
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,11589000.00,11747000.00,11189000.00,10969000.00,10319000.00
"Cost of sales",8201000.00,7913000.00,7859000.00,7320000.00,6774000.00
"Gross profit",3388000.00,3834000.00,3330000.00,3649000.00,3545000.00
"Operating profit",1280000.00,1844000.00,1614000.00,1869000.00,1752000.00
"Interest payable and similar charges",0.00,152000.00,24000.00,441000.00,452000.00
"Pretax profit",2216000.00,1904000.00,1811000.00,2056000.00,1745000.00
Taxation,-338000.00,-528000.00,-385000.00,-533000.00,-536000.00
"Profit for the year",1878000.00,1376000.00,1426000.00,1523000.00,1209000.00
"Dividends paid out",,,,,
Profit retained,1588000.00,1086000.00,1157000.00,1283000.00,1209000.00
"Fixed assets",1557000.00,1857000.00,1434000.00,1426000.00,2128000.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",1786000.00,2170000.00,1636000.00,1675000.00,1839000.00
"Debts owed by others, including group companies",820000.00,798000.00,917000.00,425000.00,676000.00
"Current assets",12965000.00,11841000.00,10754000.00,9870000.00,9808000.00
"Current liabilities",6423000.00,6457000.00,5611000.00,5369000.00,5895000.00
"Long term liabilities",6000.00,1131000.00,20000.00,8000.00,174000.00
"Called up share capital",4000.00,4000.00,4000.00,4000.00,4000.00
"Profit and loss account",8087000.00,6104000.00,6551000.00,5913000.00,5861000.00
"Shareholder funds",8093000.00,6110000.00,6557000.00,5919000.00,5867000.00
