"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,0.00,0.00,0.00,0.00,0.00
"Cost of sales",,,,,
"Gross profit",,,,,
"Operating profit",-650270.00,1028709.00,,,
"Interest payable and similar charges",,,,0.00,0.00
"Pretax profit",-7840969.00,117984749.00,1167412.00,11402736.00,9138119.00
Taxation,-720366.00,-12352329.00,-221012.00,-2802401.00,-154451.00
"Profit for the year",-8561335.00,105632420.00,946400.00,8600335.00,8983668.00
"Dividends paid out",,,,,
Profit retained,-8561335.00,12034517.00,946400.00,8600335.00,-279628.00
"Fixed assets",7624511.00,7624511.00,7624511.00,12011943.00,12011943.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,0.00,0.00,0.00,0.00
"Debts owed by others, including group companies",66280213.00,102359141.00,93783105.00,73600439.00,68439501.00
"Current assets",66280213.00,102359141.00,98170537.00,73600439.00,69505234.00
"Current liabilities",28131520.00,35767784.00,46879233.00,28457443.00,31811734.00
"Long term liabilities",8520307.00,26678360.00,25000000.00,25000000.00,25000000.00
"Called up share capital",2.00,2.00,2.00,2.00,2.00
"Profit and loss account",37252895.00,47537506.00,33915813.00,32154937.00,24705441.00
"Shareholder funds",37252897.00,47537508.00,33915815.00,32154939.00,24705443.00
