"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,11872.56,128383.50,1052699.14,5982412.22,12069184.38
"Cost of sales",,,,,
"Gross profit",,,,,
"Operating profit",,-2035795.59,5039476.21,-4152384.62,-1098064.10
"Interest payable and similar charges",567904.49,986592.46,1934013.73,905064.50,1956839.09
"Pretax profit",-1528922.89,-2323551.73,3586237.88,-4985557.48,-2189781.02
Taxation,659.58,-15810.77,-112330.70,-535336.02,-1092986.35
"Profit for the year",-1528263.30,-2339362.50,3473907.18,-5520893.51,-3282767.37
"Dividends paid out",,,,,
Profit retained,-1528263.30,-2339362.50,3473907.18,-5520893.51,-3282767.37
"Fixed assets",2179935.36,2945231.46,3857115.34,5742345.46,6599174.86
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",9893.80,561598.78,673342.31,1434623.53,3534750.87
"Debts owed by others, including group companies",58278477.67,57642296.98,59453109.95,14811605.36,16107267.53
"Current assets",58467779.17,58432835.82,60254188.33,19959560.94,20718502.06
"Current liabilities",59301497.26,58621932.70,46422748.57,11487258.48,7802602.34
"Long term liabilities",0.00,0.00,12516849.60,12516849.60,12377023.16
"Called up share capital",20867357.03,20008221.60,20307465.17,20307465.17,20080609.33
"Profit and loss account",-19521139.76,-17252087.02,-15135759.67,-18609666.85,-12942557.91
"Shareholder funds",1346217.26,2756134.58,5171705.50,1697798.31,7138051.41
