"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,190806296.17,231586893.67,181919297.38,138207836.87,312355389.34
"Cost of sales",188353999.35,225353035.65,175858002.70,130900994.96,303292116.53
"Gross profit",2452296.81,6233858.01,6061294.68,7306841.91,9063272.81
"Operating profit",,,16092617.61,11109814.51,1198504.13
"Interest payable and similar charges",18631.54,0.00,0.00,0.00,0.00
"Pretax profit",23248955.99,26847414.07,16149121.72,11213610.12,4988238.13
Taxation,-161901.70,-360424.02,-372190.14,-642427.22,-891489.23
"Profit for the year",23087054.28,26486990.04,15776931.58,10571182.90,4096748.89
"Dividends paid out",,,,,
Profit retained,3813042.08,13637648.57,3493428.32,-1712320.35,-13998431.75
"Fixed assets",7387728.87,6434950.20,5334725.46,5526348.11,6418360.57
"Inventory",198522.32,179890.78,307087.58,224788.10,150793.17
"Debts owed by customers",17194988.75,20567298.42,17983048.76,16984399.95,17619277.39
"Debts owed by others, including group companies",152741407.00,218145840.02,126131924.82,117002211.03,133945352.55
"Current assets",170336652.74,239942177.96,144981574.74,134479793.63,151715423.12
"Current liabilities",128878252.48,200099582.39,118536420.58,112526716.61,129636286.86
"Long term liabilities",0.00,1578541.59,1596855.42,0.00,0.00
"Called up share capital",12875040.15,12875040.15,12308070.26,12308070.26,12087580.67
"Profit and loss account",35971088.98,31823964.02,17874953.93,15171354.87,16409916.15
"Shareholder funds",48846129.13,44699004.17,30183024.19,27479425.13,28497496.83
