"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,504917881.40,582239767.16,607448758.43,658273958.53,765518974.92
"Cost of sales",381690521.73,469794414.51,470935661.65,470075742.98,615572313.16
"Gross profit",123227359.67,112445352.65,136513096.78,188198215.54,149946661.76
"Operating profit",45117076.70,28282865.81,48286581.21,91014827.65,39827723.62
"Interest payable and similar charges",189301.49,253885.68,232831.75,0.00,0.00
"Pretax profit",44927775.21,28028980.12,47476623.93,92007831.05,43974618.35
Taxation,-129279.07,-28484.73,-326955.22,-304897.61,-101771.81
"Profit for the year",44798496.14,28000495.38,47149668.71,91702933.43,43872846.54
"Dividends paid out",,,,,
Profit retained,-1372600.75,-95846182.42,47149668.71,91702933.43,-30923303.29
"Fixed assets",4844007.65,3797139.14,2581583.99,9698311.83,9031328.55
"Inventory",2495877.58,4807728.03,3909220.38,4893767.25,6526883.69
"Debts owed by customers",80165556.36,95588581.33,313686296.36,380010912.12,263340077.24
"Debts owed by others, including group companies",69070641.77,65548331.16,172467645.05,179983952.75,136395070.80
"Current assets",151732075.72,165944640.53,490063161.80,564908530.71,406284102.75
"Current liabilities",52966822.76,71182735.77,298239519.47,421963540.66,357109925.81
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",51342259.74,48201127.00,48201127.00,49964696.06,47722395.92
"Profit and loss account",52267000.85,50357916.89,146204099.32,102678605.81,10483109.55
"Shareholder funds",103609260.60,98559043.90,194405226.32,152643301.88,58205505.48
