"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,27907768.00,24802206.00,22089339.00,23566235.00,24863316.00
"Cost of sales",,,,,
"Gross profit",,,,,
"Operating profit",1486572.00,1577734.00,708378.00,-173637.00,818241.00
"Interest payable and similar charges",0.00,0.00,0.00,326.00,0.00
"Pretax profit",1545037.00,1632187.00,763130.00,-117351.00,969462.00
Taxation,-381630.00,-400078.00,-218372.00,-96185.00,-283618.00
"Profit for the year",1163407.00,1232109.00,544758.00,-213536.00,685844.00
"Dividends paid out",,,,,
Profit retained,88407.00,282109.00,294758.00,-213536.00,166860.00
"Fixed assets",174168.00,126610.00,111041.00,105164.00,108440.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,0.00,0.00,0.00,6165623.00
"Debts owed by others, including group companies",5343843.00,6223336.00,4551075.00,4483800.00,2045829.00
"Current assets",43835432.00,8439630.00,9674157.00,8760611.00,9879330.00
"Current liabilities",42872018.00,7517065.00,9018132.00,8393467.00,9301926.00
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",250000.00,250000.00,250000.00,250000.00,250000.00
"Profit and loss account",887582.00,799175.00,517066.00,222308.00,435844.00
"Shareholder funds",1137582.00,1049175.00,767066.00,472308.00,685844.00
