"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,0.00,0.00,0.00,0.00,0.00
"Cost of sales",,,,,
"Gross profit",,,,,
"Operating profit",-21957000.00,-22008000.00,-25272000.00,-73955000.00,-75324000.00
"Interest payable and similar charges",4000.00,86000.00,974000.00,178000.00,1425000.00
"Pretax profit",-21442000.00,-1088000.00,-26230000.00,-59121000.00,-76510000.00
Taxation,0.00,0.00,0.00,0.00,0.00
"Profit for the year",-21442000.00,-1088000.00,-26230000.00,-59121000.00,-76510000.00
"Dividends paid out",,,,,
Profit retained,-21442000.00,-1088000.00,-26230000.00,-59121000.00,-76510000.00
"Fixed assets",43020000.00,38159000.00,26426000.00,16013000.00,20525000.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,2000.00,389000.00,3552000.00,0.00
"Debts owed by others, including group companies",3096000.00,29239000.00,7063000.00,7062000.00,13062000.00
"Current assets",3096000.00,29241000.00,7452000.00,10614000.00,13089000.00
"Current liabilities",10498000.00,10340000.00,35730000.00,72249000.00,20115000.00
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",291200000.00,291200000.00,231200000.00,161200000.00,161200000.00
"Profit and loss account",-255582000.00,-234140000.00,-233052000.00,-206822000.00,-147701000.00
"Shareholder funds",35618000.00,57060000.00,-1852000.00,-45622000.00,13499000.00
