"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,37254000.00,30726000.00,27419000.00,18130000.00,24787000.00
"Cost of sales",26798000.00,22414000.00,20505000.00,14912000.00,18342000.00
"Gross profit",10456000.00,8312000.00,6914000.00,3218000.00,6445000.00
"Operating profit",2334000.00,574000.00,1169000.00,-1414000.00,1840000.00
"Interest payable and similar charges",25000.00,0.00,0.00,0.00,0.00
"Pretax profit",2345000.00,600000.00,6264000.00,-1384000.00,2261000.00
Taxation,-1492000.00,-792000.00,-1501000.00,38000.00,-180000.00
"Profit for the year",853000.00,-192000.00,4763000.00,-1346000.00,2081000.00
"Dividends paid out",,,,,
Profit retained,853000.00,-192000.00,4763000.00,-1346000.00,2081000.00
"Fixed assets",21227000.00,21151000.00,9001000.00,7181000.00,6213000.00
"Inventory",2920000.00,1026000.00,457000.00,247000.00,237000.00
"Debts owed by customers",51664000.00,16764000.00,3711000.00,1876000.00,2299000.00
"Debts owed by others, including group companies",1244000.00,1997000.00,1647000.00,7395000.00,10864000.00
"Current assets",91488000.00,24185000.00,12553000.00,15176000.00,17692000.00
"Current liabilities",85163000.00,20663000.00,5451000.00,11343000.00,11219000.00
"Long term liabilities",958000.00,237000.00,612000.00,515000.00,616000.00
"Called up share capital",15000.00,14000.00,14000.00,14000.00,14000.00
"Profit and loss account",16824000.00,15977000.00,15460000.00,10468000.00,12039000.00
"Shareholder funds",26594000.00,24436000.00,15491000.00,10499000.00,12070000.00
