"Made up to",31/12/10,31/12/09,31/12/08,31/12/07,31/12/06
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,0.00,0.00,0.00,0.00,1041100.84
"Cost of sales",-265040.20,-257610.86,4920.11,389.04,945822.07
"Gross profit",265040.20,257610.86,-4920.11,-389.04,95278.76
"Operating profit",,,,,834456.68
"Interest payable and similar charges",2043.12,1017406.18,4416734.21,6173656.43,0.00
"Pretax profit",210425.19,-818726.24,-799698.45,164985.22,829633.39
Taxation,4722881.33,0.00,0.00,0.00,0.00
"Profit for the year",4933306.53,-818726.24,-799698.45,164985.22,829633.39
"Dividends paid out",,,,,
Profit retained,4933306.53,-818726.24,-799698.45,164985.22,-9325743.88
"Fixed assets",28412.52,36365.74,53986.44,108935.40,154947.19
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",699554.70,395197.97,105761.80,4957.47,0.00
"Debts owed by others, including group companies",14764465.15,14871179.94,155505306.72,132490465.64,14027515.99
"Current assets",15464019.85,15278921.17,155637749.49,132512219.67,14047716.05
"Current liabilities",0.00,4730089.54,142774035.54,120584159.47,4198337.05
"Long term liabilities",208732.33,234803.84,236860.08,280248.50,246033.81
"Called up share capital",91.98,91.98,104.43,91.07,76.67
"Profit and loss account",15283608.06,10350301.53,12680735.87,11756656.01,9758215.70
"Shareholder funds",15283700.04,10350393.51,12680840.30,11756747.08,9758292.37
