"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,,,,,101959234.24
"Cost of sales",,,,,62617343.45
"Gross profit",,,,,39341892.08
"Operating profit",,,,,20698537.64
"Interest payable and similar charges",,,,,966907.91
"Pretax profit",,,,,21395305.33
Taxation,,,,,-1086220.35
"Profit for the year",,,,,20309084.97
"Dividends paid out",,,,,
Profit retained,,,,,20309084.97
"Fixed assets",0.00,0.00,0.00,0.00,2332699.19
"Inventory",0.00,0.00,0.00,0.00,135291.76
"Debts owed by customers",0.00,0.00,0.00,0.00,13637083.68
"Debts owed by others, including group companies",0.00,0.00,0.00,0.00,11031532.14
"Current assets",0.00,0.00,0.00,0.00,52178037.47
"Current liabilities",0.00,0.00,0.00,0.00,18255306.62
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",0.00,0.00,0.00,0.00,127375480.45
"Profit and loss account",0.00,0.00,0.00,0.00,-91151411.30
"Shareholder funds",0.00,0.00,0.00,0.00,36255430.04
