"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,104303029.00,115455324.00,98757516.00,81807826.00,113062408.00
"Cost of sales",95686823.00,105483497.00,90426907.00,74222879.00,105911642.00
"Gross profit",8616206.00,9971827.00,8330609.00,7584947.00,7150766.00
"Operating profit",2760237.00,3107681.00,1373011.00,431043.00,1194880.00
"Interest payable and similar charges",516133.00,662175.00,959935.00,687160.00,1081490.00
"Pretax profit",2603943.00,2691629.00,505909.00,302787.00,1066991.00
Taxation,-283354.00,-278946.00,-50237.00,-39876.00,-89758.00
"Profit for the year",2320589.00,2412683.00,455672.00,262911.00,977233.00
"Dividends paid out",,,,,
Profit retained,2320589.00,2412683.00,455672.00,262911.00,977233.00
"Fixed assets",972796.00,7664928.00,8594527.00,9856131.00,9933125.00
"Inventory",6768782.00,7361780.00,12929061.00,5893217.00,7313134.00
"Debts owed by customers",3839185.00,4860731.00,9202353.00,7641139.00,5866090.00
"Debts owed by others, including group companies",5863963.00,2373103.00,3457353.00,3520645.00,3772946.00
"Current assets",17107966.00,16436023.00,29136501.00,20237101.00,19479920.00
"Current liabilities",6869809.00,15183736.00,30666627.00,22445693.00,22321296.00
"Long term liabilities",1906838.00,1473995.00,1201205.00,1087369.00,1121558.00
"Called up share capital",5220002.00,5220002.00,5220002.00,5220002.00,5220002.00
"Profit and loss account",4084113.00,2223218.00,643194.00,1340168.00,750189.00
"Shareholder funds",9304115.00,7443220.00,5863196.00,6560170.00,5970191.00
