"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,0.00,0.00,0.00,0.00,0.00
"Cost of sales",,,,,
"Gross profit",,,,,
"Operating profit",-1501017.00,331815.00,325110.00,-1731238.00,
"Interest payable and similar charges",600837.00,250126.00,306368.00,259203.00,181527.00
"Pretax profit",-24629261.00,-48309668.00,-469368.00,-772043.00,1274630.00
Taxation,0.00,0.00,0.00,0.00,0.00
"Profit for the year",-24629261.00,-48309668.00,-469368.00,-772043.00,1274630.00
"Dividends paid out",,,,,
Profit retained,-24629261.00,-48309668.00,-469368.00,-772043.00,721183.00
"Fixed assets",10336416.00,15629234.00,63102833.00,52437821.00,42983974.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,1.00,0.00,0.00,0.00
"Debts owed by others, including group companies",37831657.00,22890334.00,281607.00,335944.00,12986359.00
"Current assets",37831657.00,22890335.00,281607.00,335944.00,12986359.00
"Current liabilities",70934353.00,52606588.00,8083342.00,206067.00,122604.00
"Long term liabilities",88008.00,138008.00,21216457.00,18013689.00,20521677.00
"Called up share capital",41940904.00,25940904.00,25940904.00,25940904.00,25940904.00
"Profit and loss account",-64795192.00,-40165931.00,8143737.00,8613105.00,9385148.00
"Shareholder funds",-22854288.00,-14225027.00,34084641.00,34554009.00,35326052.00
