"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,7542842.00,7895055.00,7132338.00,7075041.00,6865346.00
"Cost of sales",2076280.00,1982995.00,1850037.00,1840150.00,1754360.00
"Gross profit",5466562.00,5912060.00,5282301.00,5234891.00,5110986.00
"Operating profit",626409.00,1295003.00,941750.00,1421732.00,945082.00
"Interest payable and similar charges",64412.00,39209.00,35869.00,75666.00,204360.00
"Pretax profit",573691.00,1269606.00,907840.00,1357539.00,824009.00
Taxation,-55420.00,-272326.00,-225714.00,-246789.00,-351899.00
"Profit for the year",518271.00,997280.00,682126.00,1110750.00,472110.00
"Dividends paid out",,,,,
Profit retained,-620906.00,-505348.00,682126.00,383130.00,472110.00
"Fixed assets",4268986.00,4192312.00,4718845.00,4849560.00,5097562.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",865240.00,1090467.00,955004.00,756373.00,880735.00
"Debts owed by others, including group companies",255696.00,407490.00,374353.00,721309.00,358549.00
"Current assets",2740261.00,3506638.00,3962900.00,2566099.00,3635526.00
"Current liabilities",881049.00,912326.00,1265104.00,658542.00,1643664.00
"Long term liabilities",3702442.00,3739962.00,3864631.00,3887233.00,4602670.00
"Called up share capital",600.00,600.00,600.00,600.00,600.00
"Profit and loss account",2425156.00,3002660.00,1546030.00,1546030.00,940124.00
"Shareholder funds",2425756.00,3046662.00,3552010.00,2869884.00,2486754.00
