"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,1128752.00,1075929.00,1013460.00,887458.00,1064696.00
"Cost of sales",23149.00,21990.00,23826.00,20515.00,23308.00
"Gross profit",1105603.00,1053939.00,989634.00,866943.00,1041388.00
"Operating profit",20014.00,27038.00,24245.00,-277114.00,-135615.00
"Interest payable and similar charges",2762.00,4265.00,4255.00,955.00,1239.00
"Pretax profit",17430.00,22991.00,20104.00,-273859.00,-133055.00
Taxation,-4296.00,-16354.00,-15709.00,23574.00,36535.00
"Profit for the year",13134.00,6637.00,4395.00,-250285.00,-96520.00
"Dividends paid out",,,,,
Profit retained,13134.00,6637.00,4395.00,-250285.00,-96520.00
"Fixed assets",16688.00,25451.00,28849.00,24410.00,12033.00
"Inventory",17503.00,12685.00,12685.00,11129.00,10439.00
"Debts owed by customers",110532.00,121094.00,117433.00,103603.00,126988.00
"Debts owed by others, including group companies",214283.00,164504.00,213853.00,238248.00,197034.00
"Current assets",579959.00,449305.00,433013.00,442615.00,472115.00
"Current liabilities",553496.00,426107.00,388780.00,448040.00,399878.00
"Long term liabilities",0.00,18632.00,49702.00,0.00,0.00
"Called up share capital",700.00,700.00,700.00,700.00,700.00
"Profit and loss account",42451.00,29317.00,22680.00,18285.00,83570.00
"Shareholder funds",43151.00,30017.00,23380.00,18985.00,84270.00
