"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,7504000.00,7429000.00,6337000.00,6114000.00,4800000.00
"Cost of sales",5604000.00,5673000.00,3392000.00,3753000.00,2599000.00
"Gross profit",1900000.00,1756000.00,2945000.00,2361000.00,2201000.00
"Operating profit",1900000.00,1756000.00,2945000.00,2361000.00,2201000.00
"Interest payable and similar charges",90000.00,100000.00,24000.00,151000.00,260000.00
"Pretax profit",1817000.00,1661000.00,2956000.00,2246000.00,2061000.00
Taxation,-601000.00,-355000.00,-880000.00,-686000.00,-1211000.00
"Profit for the year",1216000.00,1306000.00,2076000.00,1560000.00,850000.00
"Dividends paid out",,,,,
Profit retained,-1984000.00,306000.00,1076000.00,560000.00,-150000.00
"Fixed assets",1292000.00,3530000.00,5868000.00,5590000.00,5587000.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",773000.00,887000.00,858000.00,755000.00,480000.00
"Debts owed by others, including group companies",264000.00,246000.00,204000.00,240000.00,62000.00
"Current assets",4159000.00,4193000.00,2787000.00,2569000.00,2809000.00
"Current liabilities",1501000.00,1728000.00,2506000.00,2474000.00,2481000.00
"Long term liabilities",1867000.00,1928000.00,2388000.00,3000000.00,3790000.00
"Called up share capital",0.00,0.00,0.00,0.00,0.00
"Profit and loss account",2083000.00,4067000.00,3761000.00,2685000.00,2125000.00
"Shareholder funds",2083000.00,4067000.00,3761000.00,2685000.00,2125000.00
