"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,12341000.00,11122000.00,10043000.00,8814000.00,13303000.00
"Cost of sales",6418000.00,6080000.00,5626000.00,5146000.00,7532000.00
"Gross profit",5923000.00,5042000.00,4417000.00,3668000.00,5771000.00
"Operating profit",1619000.00,1199000.00,1068000.00,827000.00,2933000.00
"Interest payable and similar charges",23000.00,49000.00,24000.00,23000.00,67000.00
"Pretax profit",1597000.00,1172000.00,1073000.00,812000.00,3007000.00
Taxation,-168000.00,-164000.00,-264000.00,-194000.00,-880000.00
"Profit for the year",1429000.00,1008000.00,809000.00,618000.00,2127000.00
"Dividends paid out",,,,,
Profit retained,1215000.00,795000.00,614000.00,269000.00,1768000.00
"Fixed assets",3438000.00,3543000.00,3493000.00,3694000.00,2934000.00
"Inventory",0.00,0.00,0.00,30000.00,27000.00
"Debts owed by customers",813000.00,886000.00,1268000.00,1131000.00,993000.00
"Debts owed by others, including group companies",2920000.00,2709000.00,3702000.00,4143000.00,2960000.00
"Current assets",9496000.00,8177000.00,6847000.00,6103000.00,5275000.00
"Current liabilities",1478000.00,1547000.00,1486000.00,1821000.00,2175000.00
"Long term liabilities",3005000.00,2937000.00,2423000.00,2159000.00,486000.00
"Called up share capital",2000.00,2000.00,1000.00,1000.00,1000.00
"Profit and loss account",8440000.00,7225000.00,6430000.00,5816000.00,5547000.00
"Shareholder funds",8451000.00,7236000.00,6431000.00,5817000.00,5548000.00
