"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,13368000.00,12564000.00,11822000.00,11433000.00,7365000.00
"Cost of sales",,,,,
"Gross profit",,,,,
"Operating profit",6904000.00,6047000.00,5043000.00,5576000.00,3632000.00
"Interest payable and similar charges",365000.00,393000.00,307000.00,480000.00,1027000.00
"Pretax profit",6551000.00,5666000.00,4743000.00,5109000.00,2984000.00
Taxation,-1523000.00,-1469000.00,-1339000.00,-1517000.00,-916000.00
"Profit for the year",5028000.00,4197000.00,3404000.00,3592000.00,2068000.00
"Dividends paid out",,,,,
Profit retained,1528000.00,-2803000.00,404000.00,2092000.00,2068000.00
"Fixed assets",17166000.00,17354000.00,18143000.00,17870000.00,15813000.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",177000.00,175000.00,103000.00,111000.00,511000.00
"Debts owed by others, including group companies",2135000.00,1646000.00,1615000.00,1471000.00,5242000.00
"Current assets",7935000.00,6915000.00,10088000.00,8205000.00,12912000.00
"Current liabilities",2237000.00,2404000.00,1866000.00,2177000.00,6656000.00
"Long term liabilities",13962000.00,14491000.00,16188000.00,14125000.00,14388000.00
"Called up share capital",1000.00,1000.00,1000.00,1000.00,1000.00
"Profit and loss account",8901000.00,7373000.00,10176000.00,9772000.00,7680000.00
"Shareholder funds",8902000.00,7374000.00,10177000.00,9773000.00,7681000.00
