"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,13402000.00,14603000.00,14195000.00,15898000.00,17376000.00
"Cost of sales",565000.00,510000.00,469000.00,775000.00,726000.00
"Gross profit",12837000.00,14093000.00,13726000.00,15123000.00,16650000.00
"Operating profit",7307000.00,8617000.00,7804000.00,9507000.00,10780000.00
"Interest payable and similar charges",771000.00,775000.00,769000.00,1379000.00,3247000.00
"Pretax profit",6537000.00,7847000.00,7036000.00,8152000.00,7795000.00
Taxation,-1443000.00,-1846000.00,-1918000.00,-2280000.00,-2230000.00
"Profit for the year",5094000.00,6001000.00,5118000.00,5872000.00,5565000.00
"Dividends paid out",,,,,
Profit retained,619000.00,-3761000.00,72000.00,494000.00,-132000.00
"Fixed assets",43398000.00,46709000.00,50024000.00,52951000.00,56198000.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",1602000.00,1482000.00,1686000.00,1768000.00,1781000.00
"Debts owed by others, including group companies",532000.00,537000.00,449000.00,651000.00,1490000.00
"Current assets",13244000.00,13105000.00,8173000.00,8705000.00,10658000.00
"Current liabilities",5080000.00,5685000.00,4854000.00,5685000.00,8915000.00
"Long term liabilities",37158000.00,40344000.00,43297000.00,45997000.00,48461000.00
"Called up share capital",1000.00,1000.00,1000.00,1000.00,1000.00
"Profit and loss account",6903000.00,6284000.00,10045000.00,9973000.00,9479000.00
"Shareholder funds",14404000.00,13785000.00,10046000.00,9974000.00,9480000.00
