"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,3445554.00,3521165.00,3549528.00,3186909.00,3121451.00
"Cost of sales",3406735.00,3482979.00,3513196.00,3152083.00,3078985.00
"Gross profit",38819.00,38186.00,36332.00,34826.00,42466.00
"Operating profit",,,,,
"Interest payable and similar charges",0.00,0.00,0.00,0.00,0.00
"Pretax profit",0.00,0.00,0.00,0.00,0.00
Taxation,0.00,0.00,0.00,0.00,0.00
"Profit for the year",0.00,0.00,0.00,0.00,0.00
"Dividends paid out",,,,,
Profit retained,0.00,0.00,0.00,0.00,0.00
"Fixed assets",0.00,0.00,0.00,0.00,0.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,334603.00,65298.00,67117.00,132931.00
"Debts owed by others, including group companies",0.00,0.00,18200.00,0.00,0.00
"Current assets",486785.00,490461.00,262953.00,208821.00,237419.00
"Current liabilities",486385.00,490061.00,262553.00,208421.00,237019.00
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",400.00,400.00,400.00,400.00,400.00
"Profit and loss account",0.00,0.00,0.00,0.00,0.00
"Shareholder funds",400.00,400.00,400.00,400.00,400.00
