"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,85558000.00,82855000.00,61682000.00,52447000.00,76863000.00
"Cost of sales",83846000.00,81574000.00,60797000.00,51713000.00,75108000.00
"Gross profit",1712000.00,1281000.00,885000.00,734000.00,1755000.00
"Operating profit",1145000.00,783000.00,547000.00,-123000.00,737000.00
"Interest payable and similar charges",38000.00,15000.00,1000.00,1000.00,31000.00
"Pretax profit",1107000.00,768000.00,546000.00,-124000.00,706000.00
Taxation,-477000.00,-197000.00,-2000.00,0.00,-15000.00
"Profit for the year",630000.00,571000.00,544000.00,-124000.00,691000.00
"Dividends paid out",,,,,
Profit retained,630000.00,571000.00,544000.00,-124000.00,691000.00
"Fixed assets",109000.00,200000.00,298000.00,320000.00,0.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",1195000.00,1711000.00,7263000.00,3091000.00,4646000.00
"Debts owed by others, including group companies",8015000.00,11897000.00,0.00,0.00,0.00
"Current assets",9210000.00,13608000.00,9673000.00,8544000.00,5386000.00
"Current liabilities",5098000.00,10026000.00,6760000.00,6197000.00,2595000.00
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",3616000.00,3616000.00,3616000.00,3616000.00,3616000.00
"Profit and loss account",605000.00,166000.00,-405000.00,-949000.00,-825000.00
"Shareholder funds",4221000.00,3782000.00,3211000.00,2667000.00,2791000.00
