"Made up to",31/12/13,31/12/12,31/12/11,31/12/10,31/12/09
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,,,,185206.00,226528.00
"Cost of sales",,,,182606.00,219382.00
"Gross profit",,,,2600.00,7146.00
"Operating profit",,,,-309.00,4637.00
"Interest payable and similar charges",,,,0.00,0.00
"Pretax profit",,,,-255.00,4721.00
Taxation,,,,0.00,-442.00
"Profit for the year",,,,-255.00,4279.00
"Dividends paid out",,,,,
Profit retained,,,,-255.00,4279.00
"Fixed assets",0.00,0.00,0.00,0.00,0.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",50649.00,31151.00,33721.00,28740.00,102663.00
"Debts owed by others, including group companies",0.00,0.00,0.00,0.00,0.00
"Current assets",98826.00,89066.00,94834.00,121230.00,196532.00
"Current liabilities",94498.00,84458.00,89744.00,109245.00,184292.00
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",2241.00,2241.00,2241.00,2241.00,2241.00
"Profit and loss account",2087.00,2367.00,2849.00,9744.00,9999.00
"Shareholder funds",4328.00,4608.00,5090.00,11985.00,12240.00
