"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,1087000.00,1043000.00,947000.00,964000.00,1095934.00
"Cost of sales",355000.00,312000.00,282000.00,295000.00,336941.00
"Gross profit",732000.00,731000.00,665000.00,669000.00,758993.00
"Operating profit",,,,,219782.00
"Interest payable and similar charges",0.00,0.00,5000.00,14000.00,36681.00
"Pretax profit",125000.00,97000.00,-36000.00,78000.00,217235.00
Taxation,0.00,-4000.00,84000.00,-20000.00,-51075.00
"Profit for the year",125000.00,93000.00,48000.00,58000.00,166160.00
"Dividends paid out",,,,,
Profit retained,-37000.00,93000.00,-379000.00,58000.00,166160.00
"Fixed assets",618000.00,653000.00,698000.00,743000.00,787097.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",22000.00,10000.00,28000.00,135000.00,156487.00
"Debts owed by others, including group companies",128000.00,219000.00,128000.00,98000.00,104423.00
"Current assets",351000.00,421000.00,313000.00,1304000.00,1614086.00
"Current liabilities",78000.00,149000.00,184000.00,192000.00,609577.00
"Long term liabilities",119000.00,116000.00,111000.00,760000.00,753918.00
"Called up share capital",569000.00,569000.00,569000.00,569000.00,569025.00
"Profit and loss account",203000.00,240000.00,147000.00,526000.00,468663.00
"Shareholder funds",772000.00,809000.00,716000.00,1095000.00,1037688.00
