"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,10622564.00,9979479.00,8879438.00,7566117.00,7745800.00
"Cost of sales",3550964.00,3430177.00,2850519.00,2321772.00,2520573.00
"Gross profit",7071600.00,6549302.00,6028919.00,5244345.00,5225227.00
"Operating profit",2997643.00,2509027.00,2489648.00,2102157.00,2234732.00
"Interest payable and similar charges",0.00,0.00,0.00,0.00,0.00
"Pretax profit",2998446.00,2509303.00,2489876.00,2121300.00,2246217.00
Taxation,-726571.00,-655183.00,-710939.00,-598870.00,-600600.00
"Profit for the year",2271875.00,1854120.00,1778937.00,1522430.00,1645617.00
"Dividends paid out",,,,,
Profit retained,-128125.00,54120.00,178937.00,122430.00,-4383.00
"Fixed assets",1360656.00,1159772.00,754784.00,781667.00,847155.00
"Inventory",449303.00,246756.00,256099.00,345668.00,501581.00
"Debts owed by customers",1007738.00,1137289.00,1235745.00,847640.00,1193246.00
"Debts owed by others, including group companies",90307.00,276765.00,45738.00,69341.00,35495.00
"Current assets",2607374.00,2237606.00,2529131.00,2492731.00,2361072.00
"Current liabilities",2739596.00,2040819.00,1981476.00,2150896.00,2207155.00
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",1000000.00,1000000.00,1000000.00,1000000.00,1000000.00
"Profit and loss account",228434.00,356559.00,302439.00,123502.00,1072.00
"Shareholder funds",1228434.00,1356559.00,1302439.00,1123502.00,1001072.00
