"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,9940262.84,9330318.42,7098562.37,6314406.25,7041980.77
"Cost of sales",6425726.80,5071242.72,4728313.84,2319662.49,2974617.88
"Gross profit",3514536.04,4259075.70,2370248.53,3994743.75,4067362.88
"Operating profit",3467410.06,4197125.51,3882188.10,3994743.75,4067362.88
"Interest payable and similar charges",0.00,0.00,0.00,0.00,0.00
"Pretax profit",3468737.55,4197125.51,3882188.10,3994743.75,4067362.88
Taxation,0.00,0.00,0.00,0.00,0.00
"Profit for the year",3468737.55,4197125.51,3882188.10,3994743.75,4067362.88
"Dividends paid out",,,,,
Profit retained,3468737.55,4197125.51,3882188.10,3994743.75,4067362.88
"Fixed assets",4433160.75,4460413.82,3238304.09,3988519.26,4301127.32
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",203106.33,167265.51,0.00,238605.71,91984.23
"Debts owed by others, including group companies",24125182.53,18096890.10,13575170.56,10807801.36,6479009.60
"Current assets",24328288.86,18264155.61,13575170.56,11046407.08,6570993.84
"Current liabilities",2560069.02,1507248.17,77363.54,441247.66,273186.25
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",3827160.49,3572048.07,3512426.90,3987827.65,3987827.65
"Profit and loss account",22374220.09,17645273.20,13223684.21,10605851.02,6611107.26
"Shareholder funds",26201380.59,21217321.27,16736111.11,14593678.67,10598934.91
