"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,1892043.00,1646449.00,1663070.00,1566846.00,1753386.00
"Cost of sales",132095.00,104957.00,88247.00,95842.00,131830.00
"Gross profit",1759948.00,1541492.00,1574823.00,1471004.00,1621556.00
"Operating profit",93520.00,38066.00,17204.00,-53285.00,-58041.00
"Interest payable and similar charges",9962.00,18406.00,20572.00,21638.00,1037.00
"Pretax profit",114938.00,42914.00,861.00,-55437.00,-52120.00
Taxation,-18850.00,-10016.00,-3151.00,20602.00,14279.00
"Profit for the year",96088.00,32898.00,-2290.00,-34835.00,-37841.00
"Dividends paid out",,,,,
Profit retained,96088.00,32898.00,-2290.00,-34835.00,-37841.00
"Fixed assets",459423.00,519709.00,491714.00,574591.00,672820.00
"Inventory",15618.00,18302.00,15266.00,11369.00,19869.00
"Debts owed by customers",175081.00,133357.00,119526.00,170726.00,129533.00
"Debts owed by others, including group companies",71189.00,91729.00,104102.00,86449.00,49108.00
"Current assets",522807.00,389642.00,391943.00,547883.00,493212.00
"Current liabilities",411665.00,400108.00,209718.00,422475.00,412198.00
"Long term liabilities",552622.00,556388.00,730982.00,750752.00,750752.00
"Called up share capital",5000.00,5000.00,5000.00,5000.00,5000.00
"Profit and loss account",12943.00,-52145.00,-62043.00,-55753.00,-1918.00
"Shareholder funds",17943.00,-47145.00,-57043.00,-50753.00,3082.00
