"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,106262769.03,152088660.45,148216607.83,181057504.87,249138624.60
"Cost of sales",56384195.30,54884677.16,44517926.80,119761817.73,142202924.46
"Gross profit",49878573.72,97203983.29,103698681.03,61295687.13,106935700.14
"Operating profit",49839383.23,97086411.82,103484426.28,60786427.87,106926122.21
"Interest payable and similar charges",64889.17,0.00,0.00,0.00,4787689.16
"Pretax profit",49820751.68,116699646.64,103516626.41,60947246.58,443666432.53
Taxation,-22548666.88,-23063283.00,-26340330.67,-37344663.74,-55505395.56
"Profit for the year",27272084.80,93636363.63,77176295.74,23602582.84,388161036.97
"Dividends paid out",,,,,
Profit retained,27272084.80,-163350465.78,77176295.74,-128687865.49,388161036.97
"Fixed assets",96173466.10,103481529.07,100217970.15,116694688.10,220744524.61
"Inventory",1154513.33,663026.01,705306.83,6840277.77,7104910.28
"Debts owed by customers",63824606.48,78880179.89,29868722.52,5149244.63,140367792.60
"Debts owed by others, including group companies",121563764.85,70242210.08,289000557.31,235625000.00,657454185.55
"Current assets",186544812.07,149787343.39,319574586.66,247614522.41,804926888.44
"Current liabilities",35708319.94,33530999.03,50557929.28,77001096.49,589620713.87
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",48185030.51,48185030.51,46442504.17,45687134.50,47889662.21
"Profit and loss account",198824927.72,171552842.91,322792123.35,241620979.53,388161036.97
"Shareholder funds",247009958.23,219737873.43,369234627.53,287308114.03,436050699.18
