"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,,,,5322776.32,5534129.36
"Cost of sales",,,,,
"Gross profit",,,,,
"Operating profit",,,,-146223.10,-2976821.40
"Interest payable and similar charges",,,,,6385.28
"Pretax profit",,,,-141114.87,-2884234.72
Taxation,,,,0.00,0.00
"Profit for the year",,,,-141114.87,-2884234.72
"Dividends paid out",,,,,
Profit retained,,,,-141114.87,-2884234.72
"Fixed assets",0.00,0.00,0.00,92586.68,127067.23
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,0.00,0.00,0.00,0.00
"Debts owed by others, including group companies",0.00,0.00,0.00,7965647.14,8755507.31
"Current assets",0.00,0.00,0.00,8066534.70,8758699.95
"Current liabilities",0.00,0.00,0.00,468680.16,1186386.56
"Long term liabilities",0.00,0.00,0.00,62575.82,53636.42
"Called up share capital",0.00,0.00,0.00,10854990.10,10854990.10
"Profit and loss account",0.00,0.00,0.00,-3532980.01,-3391865.14
"Shareholder funds",0.00,0.00,0.00,7627865.39,7645744.20
