"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,159000.00,0.00,0.00,0.00,0.00
"Cost of sales",1154000.00,0.00,,,
"Gross profit",-995000.00,0.00,,,
"Operating profit",-10723000.00,5569000.00,-3729000.00,-2621000.00,-1610000.00
"Interest payable and similar charges",917000.00,0.00,0.00,0.00,0.00
"Pretax profit",-11639000.00,5570000.00,-3729000.00,-2549000.00,-1033000.00
Taxation,2548000.00,562000.00,0.00,147000.00,-147000.00
"Profit for the year",-9091000.00,6132000.00,-3729000.00,-2402000.00,-1180000.00
"Dividends paid out",,,,,
Profit retained,-9091000.00,6132000.00,-3729000.00,-2402000.00,-1180000.00
"Fixed assets",401342000.00,346898000.00,275054000.00,159787000.00,43891000.00
"Inventory",3828000.00,3000.00,0.00,0.00,0.00
"Debts owed by customers",216000.00,0.00,0.00,0.00,0.00
"Debts owed by others, including group companies",833000.00,1462000.00,2405000.00,1890000.00,1350000.00
"Current assets",5756000.00,19151000.00,26927000.00,16319000.00,8969000.00
"Current liabilities",18763000.00,16025000.00,14851000.00,22138000.00,5735000.00
"Long term liabilities",302984000.00,265236000.00,220952000.00,97156000.00,0.00
"Called up share capital",96027000.00,86373000.00,73895000.00,60800000.00,48711000.00
"Profit and loss account",-10676000.00,-1585000.00,-7717000.00,-3988000.00,-1586000.00
"Shareholder funds",85351000.00,84788000.00,66178000.00,56812000.00,47125000.00
