"Made up to",31/12/12,31/12/11,31/12/10
Currency,GBP,GBP,GBP
Turnover,0.00,0.00,0.00
"Cost of sales",,,
"Gross profit",,,
"Operating profit",-2218192.12,-1975048.37,-1865330.99
"Interest payable and similar charges",435.02,340.13,293.08
"Pretax profit",-2227130.44,-1978918.60,-1865331.63
Taxation,0.00,0.00,0.00
"Profit for the year",-2227130.44,-1978918.60,-1865331.63
"Dividends paid out",,,
Profit retained,-2227130.44,-1978918.60,-1865331.63
"Fixed assets",10801513.95,5840859.57,2555124.56
"Inventory",738404.70,492803.00,322918.76
"Debts owed by customers",0.00,0.00,0.00
"Debts owed by others, including group companies",1113808.61,536589.43,189369.22
"Current assets",1868274.69,1046108.81,529892.32
"Current liabilities",17586851.31,9731510.25,4111920.35
"Long term liabilities",282100.56,127490.91,0.00
"Called up share capital",810839.85,810839.85,838427.52
"Profit and loss account",-6010003.08,-3782872.63,-1865330.99
"Shareholder funds",-5199163.22,-2972032.78,-1026903.47
